word,mean_shap,count
because,2.297024369239807,3
those,0.7628234544881707,4
that,0.6627000150570397,11
their,0.6263610702872029,4
about,0.6146646380792455,7
one,0.5866413274779916,4
for,0.5637742530825562,8
but,0.4953435329880449,8
person,0.46134573490780895,3
when,0.43531898703076877,6
they,0.4347618442419237,6
time,0.4193869191221893,3
like,0.4094640781575955,7
fake,0.3903431075887056,3
not,0.37925328665369307,6
feeling,0.31644348166211034,17
his,0.3026197723156656,3
would,0.233741056956725,7
get,0.23003836912685074,5
with,0.2039296356091654,10
