token,mean_importance
devastated,4.099265094924097
crappy,2.2207105312336353
less,1.5930549663801987
how,1.3185845647770595
start,1.1910262438953698
sad,1.135317149317416
any,1.1116042054297093
ive,1.0804260801523924
got,1.0406542895252642
just,0.9320869399068344
mad,0.9239023173965203
his,0.8764692995076379
like,0.7972440451498187
but,0.7714831775916867
iotic,0.6918505402960969
im,0.6840077567018549
am,0.6676062816849481
id,0.6560055365019556
home,0.6024477107554654
feeling,0.6012358759244812
myself,0.5784749389458739
him,0.48939473053033
not,0.4893304983257952
alone,0.4256524108107745
on,0.37253644527045254
can,0.3701471122628521
this,0.36808663106213707
who,0.3505194045492317
these,0.2912413323547298
year,0.28666372003863216
been,0.27649970634956844
my,0.2686536312836506
and,0.24861710293022757
feel,0.2427636860744987
right,0.23420685920882534
have,0.2294187740664711
really,0.218379443093519
seeing,0.21508548300456218
numb,0.18275221318617696
to,0.18161986604072686
is,0.15798610273444724
be,0.15383433488235218
now,0.15000612556298165
than,0.14534483692204958
at,0.13886571883995202
for,0.13639727982149452
was,0.13276440328559147
so,0.1115212261964997
all,0.09065876032420622
their,0.0850230726900918
when,0.08499710128817242
ed,0.06023425917616502
emotional,0.05902306644566124
that,0.05854727633528534
days,0.052111582830548286
because,0.04748600932807676
get,0.039661765379995426
try,0.03882943591027773
want,0.035876494171285835
lore,0.03328556939959526
with,0.031944580445133396
up,0.03084483937868754
the,0.029004486365162545
of,0.028908856709263506
more,0.02571452418184587
back,0.024805029291504372
from,0.02076248748562648
ashamed,0.02044501740601845
or,0.017506179307539633
never,0.012277797655163644
doomed,0.011346638668328524
see,0.010172608055654564
in,0.01004019867955589
being,0.009194289552397095
always,0.008466038305186885
awful,0.007898401803686284
nt,0.007289016459253617
them,0.006979318052799499
until,0.0068936137276978116
embarrassed,0.006500744802906411
ve,0.006209914640445883
you,0.0059904541101007324
as,0.005391832123288103
time,0.005269794326003259
every,0.005268037932789109
heart,0.0038946031272644177
out,0.002895299937725732
very,0.002348176041550687
me,0.002285352109207782
they,0.0022362140395368138
dis,0.002072159233648563
about,0.00202517161934728
un,0.0012078276864485814
bit,0.0011243185078152844
it,0.0011099326087484465
would,0.0010286087053827941
are,0.0008755186366518805
stop,0.0007876982369149724
feels,0.0006353808676067274
do,0.000617357585724676
there,0.0005415820922280545
little,0.00048342656509703374
regret,0.0003231383816455491
hard,0.00024825751625030535
people,0.00013394634052019683
boring,7.239443812068203e-05
life,2.9565902536887734e-05
