token,mean_importance
adhd,0.4002109937525044
sad,0.28248034548278156
look,0.27599462145008147
im,0.20566308129410674
ad,0.15781594792633769
depressed,0.0911652093952328
think,0.06749063593431194
which,0.059075968415527313
too,0.05149803743547131
other,0.037473123922245576
every,0.03275477384943315
people,0.0322377730507729
nothing,0.03105966872942645
right,0.030167813865887183
could,0.026499784922634717
day,0.025091114566142398
doing,0.020511492779925384
because,0.015535166305978367
need,0.015505043245639172
ing,0.014791575381574754
life,0.013307111759668597
so,0.011256941971857436
and,0.011078799686232179
please,0.0094146904509671
that,0.008844542411809795
loved,0.0082467705263601
now,0.008174130991033292
is,0.006686713170941298
but,0.006132346540413748
have,0.00585132984639629
like,0.005547873890887347
angry,0.005275065253954381
care,0.005107105706338188
...,0.0050979616225959035
break,0.004897671135768178
be,0.004856503072094552
would,0.0044986210411176826
to,0.004449920757028991
does,0.004105571252390898
in,0.004067542328870001
not,0.003952441009607991
take,0.0037394349057346212
love,0.0036044545064214616
'm,0.0034976001975337567
their,0.0034266624000641364
ill,0.003402110220728597
yourself,0.0033674540468382475
single,0.003338302716050142
happy,0.003253196058873679
talk,0.003192924822542409
possible,0.002981119013080994
only,0.002850751403173035
went,0.0027372887511774024
anyone,0.0026221722579672737
there,0.0025673298264337063
my,0.0024165626472633255
the,0.0022298518293098367
everything,0.002030752862083318
thought,0.001954366258966426
live,0.0019413678797377543
your,0.0018919588446351554
person,0.001877189927654399
past,0.0018594875336930272
on,0.0016949678570957378
's,0.001661354544402067
lost,0.0015679753224503656
ever,0.0015637276787856536
had,0.0014750228544926358
home,0.0014295483291183093
we,0.0014026695792251434
do,0.001366357114381978
family,0.00133848730297359
you,0.001300294529301027
through,0.001266387147855615
died,0.0012617867417551072
again,0.0012525489187282801
fucked,0.001250297301642907
anxiety,0.001246069852121374
friend,0.0012451168517145562
way,0.0012067554291661509
as,0.0011878396925870524
for,0.0011810891617079463
months,0.0011700257032316586
until,0.001169083016065997
else,0.001138976472793729
they,0.0011372479669998505
friends,0.0011045016392851419
really,0.0010940882580939616
let,0.0010589894157289695
emotions,0.0009949457523816818
everyone,0.000952646623111584
her,0.000947071627403299
episode,0.0009434756951426001
if,0.0009205647781224494
up,0.0009190851911284881
are,0.0009178425470314064
how,0.0008968456211277953
almost,0.0008443494683281946
best,0.0008228953864772848
honest,0.0008108137711436333
can,0.0007709909476337392
one,0.0007545537670428833
of,0.0007194730597053473
someone,0.0007046508071653079
am,0.0006854775970589765
what,0.0006745515225595548
about,0.0006648944011165744
year,0.0006321798095582794
or,0.0006077725628039424
me,0.0006035302472355397
much,0.0006012528842802567
work,0.0005718084418428285
probably,0.0005648560939334856
mg,0.0005410220837802626
never,0.0005165783078899204
finally,0.0004894531642397245
it,0.00048421611166939903
know,0.0004831515073470251
na,0.00048242758900111465
then,0.00045325418218453704
having,0.0004367451650978182
years,0.00043494239446916156
depression,0.0004299336097756168
less,0.0004092513560559989
them,0.0004069417804607332
already,0.00039036986224042874
give,0.0003875359410206632
out,0.00038686532232329936
just,0.0003611185339406536
get,0.0003592177949733675
bad,0.00035757215248720186
bipolar,0.00034765042558622855
something,0.0003285015485137895
things,0.0003142315215882263
hurt,0.000311661847376854
with,0.00030939052344254424
ay,0.00030004958777378005
any,0.0002971163485199213
don,0.0002808500885294052
social,0.0002772880245174747
suffered,0.0002723869929468492
next,0.00026856403883357416
were,0.0002654201325640315
those,0.00025730664371318807
end,0.0002450428823067341
while,0.00022119504251350008
"),",0.00022094631519091004
po,0.00021475776641940078
pretty,0.00021427165556815454
will,0.00020662039919443486
feel,0.00020468429975153412
this,0.0002008024869077229
around,0.00019741603013504312
here,0.00019654578378928514
able,0.00019592958815337625
kind,0.000193956810335294
mental,0.0001931627427135633
who,0.00019299048739816903
after,0.0001913794410808935
started,0.00018657096766868823
relationship,0.0001720934733384638
away,0.00017136111091531347
say,0.0001712718143608072
some,0.00016977259419945768
15,0.0001595329673970506
been,0.00015264117688123708
self,0.00015094143532223825
over,0.00014889070805359304
often,0.00014636284458902082
was,0.00014150547809145387
ipolar,0.00014106142043601722
kill,0.00013666845443367493
cannot,0.00013414458104913743
che,0.00013006884546484798
all,0.00012748043435053928
deep,0.00012197644423395104
cry,0.00012100330574564093
myself,0.00011629734129970669
lot,0.00011458090511951013
few,0.00011352166739015956
su,0.00011209632187577274
thoughts,0.00011155441704128559
an,0.00011113391614840525
working,0.00010420727062410151
has,0.00010337682812990221
at,0.0001026744908093254
when,0.00010201129138791161
normal,9.726973758006352e-05
well,9.446980993743637e-05
by,9.304778313889983e-05
still,9.054376945035376e-05
living,8.898711697232405e-05
?),8.778834671829827e-05
state,8.660710464027943e-05
med,8.552376721127075e-05
no,8.129908020794485e-05
fuck,7.937884856801247e-05
being,7.770955207888619e-05
therapy,7.700459027546458e-05
currently,7.440438578972437e-05
from,7.409699052611056e-05
manic,7.158196967793629e-05
want,6.840045321868357e-05
hd,6.757801869146836e-05
wish,6.68776471381231e-05
sex,6.351618867483921e-05
where,6.078935075493064e-05
se,5.965306506065341e-05
ia,5.946462169958977e-05
man,5.6672844948479906e-05
low,5.647932145317706e-05
especially,5.6255268949219804e-05
motivation,5.5467772957247995e-05
night,5.436340861706412e-05
why,5.42234690025604e-05
experience,5.4024451552929044e-05
suicidal,5.371190900405054e-05
old,5.3641440748227374e-05
its,5.319588199199643e-05
last,5.3138728877196885e-05
even,5.2089045857428574e-05
into,5.175821009591649e-05
school,4.784275385342577e-05
sometimes,4.627891757991165e-05
worth,4.488693957682699e-05
going,4.3962374547845684e-05
treatment,4.3889571315958165e-05
always,4.3383937281760154e-05
suicide,4.2813811433006776e-05
anymore,4.1876469822454965e-05
than,4.16004343151144e-05
put,4.136575944357901e-05
week,4.116421240496493e-05
thing,4.111592109741954e-05
long,4.078913836262169e-05
body,4.0525123798336914e-05
help,3.971384660417243e-05
reason,3.8895583975318006e-05
title,3.7501667748074397e-05
fat,3.680379040815751e-05
since,3.666771993136665e-05
id,3.611057218222413e-05
suffering,3.5723291603062535e-05
job,3.361237567231809e-05
without,3.333965969432029e-05
doctor,3.274737082392676e-05
feeling,3.0239499513603125e-05
parents,2.9995490292224402e-05
thinking,2.888543059498261e-05
anywhere,2.7845259486033076e-05
such,2.7529650651558768e-05
tired,2.652039630548744e-05
more,2.6109083819392254e-05
die,2.5976223696488887e-05
tried,2.5832009214354912e-05
health,2.5811922265954006e-05
feels,2.5509418628644197e-05
time,2.5007117382561512e-05
saying,2.475378551025642e-05
better,2.3631138598526984e-05
back,2.2573523438040866e-05
month,2.204156119963348e-05
ve,2.1174741959839594e-05
gets,2.0765181640551116e-05
same,2.0048162468810915e-05
online,1.9632508610811783e-05
parent,1.9239910443502595e-05
go,1.9028230275984646e-05
near,1.899293177605917e-05
before,1.871859247633741e-05
off,1.7344742786917777e-05
very,1.5204531412867558e-05
college,1.5094624662500186e-05
sick,1.4524622353443798e-05
anything,1.4431967883865582e-05
turn,1.3974817799559483e-05
times,1.3331330137589248e-05
heart,1.2323714448333098e-05
down,1.214143651395716e-05
hard,1.1935533317834294e-05
