word,mean_gradient,count
when,1.2475739344760466,3
how,1.141370955684882,3
love,1.0120177083590534,7
without,0.8012132812393247,5
for,0.7829394041214073,8
that,0.7314303264433571,15
now,0.6551904326770455,4
all,0.5206928534826147,6
like,0.5038963054463592,9
this,0.4425346328252999,8
which,0.43375491979531944,3
and,0.41441397496724974,32
work,0.4141551873399294,3
have,0.41260948690129834,6
can,0.3983938267920166,4
not,0.3912493743468076,5
myself,0.37388154777545424,4
feeling,0.3526573531365358,16
more,0.24993984253160306,8
feel,0.2224724778723995,38
