token,mean_importance
dissatisfied,1.277460590004921
not,0.44036242897103267
today,0.2773117859166329
how,0.26815324717123684
want,0.2629575379810376
next,0.25904208637803094
still,0.2345968969942381
what,0.21787832405867189
had,0.1941384605190251
ve,0.1678678537136875
know,0.1580771765056852
him,0.11822951035549067
he,0.11781641920000159
so,0.11111801977922368
together,0.09788021650911105
was,0.09537941403583058
im,0.08966507258810452
and,0.0791326886332742
pretty,0.077622316632187
me,0.07281904058768038
http,0.06566511087900533
href,0.06405191027018493
have,0.060521417993904356
up,0.0553416565497173
back,0.05515329154422943
they,0.050912194367811026
feel,0.04929125204556328
less,0.04635518022678298
of,0.04563327893821555
because,0.044389666635834144
agitated,0.04020760705073675
person,0.03972211074869847
for,0.03878986856590713
my,0.03810210225303005
is,0.037575013479605936
way,0.034191507495415864
in,0.0339181378943158
has,0.030153569345202413
time,0.029832411382509843
been,0.027733154364977964
feeling,0.02664898483346355
it,0.02276449960805217
the,0.022557084748440013
that,0.021853697645941462
to,0.018644258352312735
do,0.01839339938184518
ive,0.01724545155108596
with,0.016008713892582214
could,0.014390321055543609
just,0.014374835369744687
as,0.011730840381157273
selfish,0.01057592424149334
but,0.01038359322337783
each,0.00857600876770448
when,0.007177075088839047
name,0.006217993951092164
on,0.006037917454341369
out,0.005918979716807371
its,0.0053189785782403005
now,0.004926308473971274
she,0.004471496911719441
irrit,0.00416434290430819
got,0.004154132618282347
last,0.0038558912274311297
disgusted,0.0026371925487183034
frustrated,0.0025577457660498717
crank,0.0024295791323917606
offended,0.0021526516578281494
able,0.0020186181839865944
being,0.0019376083101734468
from,0.0019190666171198245
angry,0.001796671183547005
irritated,0.0017638766439631581
at,0.0014621051174029931
rude,0.0012365726984821127
impatient,0.001185961117395588
fucked,0.0011552060556520398
ful,0.0011140166025143117
also,0.000949284173354196
or,0.0009424440067959949
cold,0.0009048209961595907
here,0.0008960311902228568
stubborn,0.0008556704415241256
should,0.0007757949642837048
too,0.000710157157300273
can,0.0006199781448231079
this,0.0005943753862993617
think,0.0005082739036879503
feels,0.0005025531888046922
those,0.0004985377515064707
more,0.0004806627014962335
really,0.00045933170137383666
who,0.0004293582110221905
all,0.0004271459284836965
very,0.0004256685538816133
am,0.0004235891602775155
make,0.00042144656345044496
her,0.0004193472555925837
hated,0.00041624590812716633
own,0.00039675379715239006
get,0.00038586719620070653
over,0.0003839796456001447
thinking,0.0003734863906477888
don,0.0003633325104601681
myself,0.0003544127752580347
you,0.0003479515026280448
like,0.0003432133913747748
see,0.0003410439530853182
insulted,0.00032631311963389936
dangerous,0.00030768078856150777
life,0.0003054170474570128
if,0.0003028422237548511
ing,0.00029922013982286444
would,0.0002985777052041764
feelings,0.00029734000175570446
there,0.00024184419877807764
even,0.00023015847909846343
people,0.00021864334394194884
are,0.00021763398945040535
be,0.00021666469153084714
about,0.00020362861895201995
right,0.00019272056791426925
started,0.00018231821256146455
loved,0.00014004948025103658
ones,0.00013027032067232844
one,0.00011305336094361944
things,0.00010872303907187113
day,7.44794460842968e-05
oh,2.2106820930882048e-05
