token,mean_importance
tremor,1.1343172246706672
angry,0.9856751133920625
nothing,0.7282274222899332
right,0.70685982355036
could,0.5199032483642441
doing,0.4953492130693381
honest,0.4731901836630641
life,0.2625042104066716
ro,0.2298243483060105
now,0.19743202631550621
everyone,0.16943633649150963
normal,0.15712637418710074
re,0.1516849956175065
started,0.13491068763349695
anyone,0.13480190451373347
someone,0.12949072050623728
like,0.12151233933861606
de,0.1202471233725646
everything,0.09473187917745918
be,0.08052408863643863
in,0.07378132970351553
is,0.06525419459524297
has,0.055491479396291
not,0.050050249899943056
have,0.03901575296160196
that,0.038467625344299275
get,0.0369898092847672
as,0.03678037869082497
they,0.03296671266734631
to,0.025564751658513223
just,0.020688447935149602
me,0.019373198198160215
been,0.014436694052348332
it,0.009007694596593611
this,0.00890027344096072
and,0.00804113386236238
again,0.004586444442452375
motivation,0.004372882382540411
we,0.00309575032072947
im,0.0028248204034753144
finally,0.001925185550135211
on,0.001919826774027293
relationship,0.001905052612983127
cry,0.0018727541907234506
sad,0.0018695875894081837
probably,0.0017402376635800465
hd,0.001728583698119716
can,0.0016592236664895279
look,0.001490860753013597
mental,0.0013950412794656586
every,0.0011532623433746874
year,0.0010340356035488764
what,0.0009795651024647027
la,0.0008798736465299347
until,0.0008776373806540505
died,0.0008452903445383223
working,0.0008391947080781392
would,0.0007953410035952402
ad,0.0007911490170044999
anxiety,0.0007860230052756378
next,0.0007728717155259801
around,0.000766681327182336
constant,0.0007530825223511783
their,0.0007387217657803072
need,0.0007128914056011126
good,0.0007117460742544305
which,0.0007114517362651895
there,0.0007101249768766138
live,0.0006879326879892947
bipolar,0.000664712638743887
break,0.0006620962823944865
had,0.000646445089576749
still,0.0006462835272031953
her,0.0006401729242497822
family,0.0006145766088820892
depressed,0.0006082932828424722
over,0.0005959680660122434
years,0.000575902304214986
old,0.0005606002994985223
out,0.0005571524682687192
because,0.0005544157655164711
sex,0.0005542163823217076
emotions,0.000551317686282952
kind,0.0005500751110048441
suffered,0.0005425990302683203
will,0.0005420696000631627
people,0.0005165987229897187
your,0.0005092916863532082
other,0.0005048728487963671
so,0.0004473600800578323
you,0.0004328403862408387
don,0.00043063336088380313
mg,0.0004296208280720748
lot,0.0004156478498771321
fucked,0.00041385280807541375
after,0.0004051893262915958
social,0.0003920777053281199
na,0.00038050451197098784
of,0.0003709250278954872
way,0.00033093453384935856
deep,0.000312017942633247
well,0.00030543489765477716
too,0.00030391308700927766
things,0.00028411790935933823
think,0.00027367117023790013
episode,0.00026848294752805185
but,0.0002553234502987547
night,0.0002520866170016234
day,0.00024890822265888346
know,0.0002468575782788523
really,0.0002459238557776189
anyway,0.00024224957815022208
those,0.0002406803541816771
hurt,0.00024010174593058764
being,0.0002317065664101392
depression,0.00022748957009753213
let,0.000224847354080079
kill,0.00022455165726569247
went,0.000213325380968854
am,0.0002086063461687305
often,0.00020411416642218683
my,0.00019630275590186232
for,0.00019517668545360368
pretty,0.0001912185034598224
than,0.00018527314858829413
do,0.0001815203767483067
going,0.00018129460230349132
never,0.00018023546528473327
was,0.00017948086444145397
15,0.00017855138867162168
feel,0.00017658315373410006
please,0.00017308575797869707
loved,0.00017285799549426883
all,0.00016376593075887393
fuck,0.00015179948604782112
long,0.00014972764493374294
state,0.00014515340603793447
away,0.00014141470122316
few,0.00013990448396725697
want,0.00012879349199985363
such,0.00012675121282275845
while,0.00012084953300472989
mania,0.00011903004815394524
mani,0.00011857599262536193
with,0.00011559363921017992
work,0.00011044412773723404
the,0.00010989824087303106
end,0.00010974364095091005
more,0.00010905728423235164
myself,0.00010500371562708703
ever,0.00010227768038930662
or,0.00010017790023434478
through,0.00010005055590530294
friend,9.968890735763125e-05
suicidal,9.921384262270294e-05
past,9.76410685780138e-05
less,9.745387190681261e-05
already,9.634185274383829e-05
especially,9.263699272802721e-05
friends,9.15550679868223e-05
something,8.818056479261334e-05
are,8.671939490341174e-05
person,8.63261468566634e-05
ve,8.5191149446473e-05
no,8.488218818249813e-05
lost,8.006071366253308e-05
home,7.669635760976234e-05
feeling,7.669020578759955e-05
take,7.564320367237087e-05
months,7.432046697886108e-05
at,7.195773479098635e-05
up,7.155581229767449e-05
thought,7.143370491273042e-05
same,6.962104021113191e-05
therapy,6.90984129505523e-05
worth,6.857824701000936e-05
anymore,6.579702971976076e-05
parents,6.506351820689815e-05
were,6.497496315205353e-05
low,6.461345886539978e-05
any,6.348752831399906e-05
bad,6.273963598297476e-05
happy,6.145759137628677e-05
else,6.126823245722335e-05
suffering,6.0026880722337715e-05
doctor,5.91435289910199e-05
care,5.8869029317065724e-05
cannot,5.882995840996349e-05
suicide,5.803411841043271e-05
if,5.787719874206232e-05
love,5.7645468132250244e-05
last,5.6349058752402925e-05
experience,5.5629162185747795e-05
school,5.534961079926385e-05
time,5.370763745661732e-05
yourself,5.350121606776762e-05
title,5.224699361860985e-05
some,5.1761821237050756e-05
only,5.138340873145353e-05
who,4.9189463071444254e-05
wa,4.7911116780596785e-05
say,4.768233353994825e-05
treatment,4.595377913574339e-05
thoughts,4.594263433925031e-05
does,4.505943282614074e-05
before,4.44243702077074e-05
single,4.303927441166403e-05
self,4.265089478394657e-05
into,4.144931328179761e-05
always,3.921751158486586e-05
talk,3.9009078818708076e-05
tired,3.8890925376714826e-05
its,3.864529925421165e-05
living,3.855366245867723e-05
med,3.54144139237178e-05
having,3.498088262858801e-05
since,3.3490975770941335e-05
fat,3.341164438097621e-05
put,3.228987770853564e-05
by,3.077337472253324e-05
able,3.059523498905037e-05
from,3.0568538704756065e-05
currently,3.0539193782412134e-05
here,3.0222074201446958e-05
sick,3.011050527372087e-05
when,2.986869235015051e-05
an,2.9553615331678883e-05
about,2.8211627826143133e-05
very,2.808421711759163e-05
week,2.7392066255872904e-05
tell,2.6726112688872188e-05
job,2.6539160494899585e-05
reason,2.5782548345887334e-05
pain,2.4588920268797665e-05
online,2.456567229576952e-05
why,2.4475281710086467e-05
feels,2.4268084644063492e-05
down,2.4108347133733332e-05
die,2.3532118029834236e-05
help,2.3098401698007365e-05
better,2.2739585195571028e-05
one,2.2688005515192344e-05
much,2.1928180956365395e-05
even,2.1592063421849162e-05
where,2.0907250548892382e-05
se,2.054011990063979e-05
month,1.9517480874734854e-05
find,1.9473687643767335e-05
back,1.9425029677222483e-05
college,1.7794328111146267e-05
how,1.7785082057095927e-05
go,1.7661992337202213e-05
sometimes,1.7510391626274213e-05
press,1.7343283010025818e-05
che,1.7050243968697032e-05
hard,1.69262370945944e-05
wish,1.683391928963829e-05
anywhere,1.663430475673522e-05
off,1.5802919915586244e-05
anything,1.5773218971541308e-05
overcome,1.560648919015269e-05
best,1.4972302892601874e-05
others,1.4896806836380469e-05
turn,1.3728893539640316e-05
thing,1.3717278913342549e-05
thinking,1.3631230785904336e-05
co,1.322290268035431e-05
then,1.2934234700878732e-05
heart,1.2876102421917798e-05
them,1.1987499975576713e-05
parent,1.1896164892277739e-05
without,1.180524229008976e-05
body,1.1793297593006477e-05
tried,1.1633265103228041e-05
almost,1.1148553615688192e-05
gets,1.0694610864447895e-05
times,1.066110962710809e-05
near,9.7598934492756e-06
listen,8.951004474511137e-06
ing,8.647913697738355e-06
