token,mean_importance
normal,0.17271096029924138
started,0.1576804346876283
nothing,0.13124105450754087
anyone,0.12064557153962596
right,0.10815413326960766
has,0.08417543722108738
could,0.08070563872111051
doing,0.05807766069519208
life,0.0360227959654493
now,0.02750705403213703
like,0.025485786590048395
is,0.02300066269298257
this,0.019598200206383684
be,0.013619939260949017
in,0.013301041703176576
that,0.012633242199012244
not,0.012594496121828848
need,0.01244483434538779
ing,0.01061101663970021
have,0.009268317769456622
suffering,0.0038615041949014994
and,0.0037634750022496354
to,0.003702023097895246
su,0.003641621765079132
while,0.002300826482382945
on,0.0018060021105554824
possible,0.0016490468303042387
anxiety,0.0014307988492094279
angry,0.0014188507508758146
fuck,0.0013700754033152407
died,0.0013095182684992324
such,0.0012521023675920635
mg,0.0012364427966531366
social,0.0012315095144003862
for,0.001128558885143537
suffered,0.001035321173731063
put,0.0009595421332164733
their,0.0009109713191340537
would,0.000820222163042672
who,0.0008032572732695877
live,0.000801346173886941
other,0.0007905551410658518
else,0.0007767508553115476
ill,0.0007663585393705338
everyone,0.0006923593386587031
been,0.0006665206000320723
fucked,0.0006593788906078165
na,0.0006580393425489698
her,0.0006532371129045108
people,0.0006521202351288073
much,0.0006517982740490424
as,0.0006508974302732895
can,0.0006469090187692927
they,0.0005734288211204417
mental,0.0005535032454038932
your,0.000547454864977226
go,0.0005337887198872219
's,0.0005142454901942983
had,0.0005139196579383073
break,0.0005048061167144624
bipolar,0.0004990083349791045
already,0.000479677238217846
we,0.0004706021558636816
something,0.0004669463590592689
someone,0.000466054069056554
'm,0.00045393864002107875
"),",0.0004379961840944209
friend,0.00040822490782375096
because,0.00038926520132268446
let,0.0003854854875433895
15,0.00037918001423046616
went,0.0003656227623594077
depression,0.00036471647088546886
ad,0.00036451701816986315
everything,0.0003345435691244347
cry,0.00033388144553706905
an,0.0003311520866563197
working,0.0003179704271474293
know,0.00030991391016262543
years,0.0002984736340330959
so,0.00029792604212906955
lot,0.00028827040917652386
way,0.0002826182321769011
say,0.00027350271466275444
ipolar,0.00026278159293724457
friends,0.00025453120766390686
state,0.000252257533975353
are,0.00024796263299517056
honest,0.0002358554863045962
adhd,0.00020909125305479392
at,0.0002032408377077546
of,0.00019923781469419162
after,0.00019661045796835554
kind,0.00018494019572775264
few,0.0001834243145367509
probably,0.00018164783637075743
look,0.00018025167507100073
there,0.00017715085888312388
past,0.0001751658430180214
do,0.00017158310476269377
with,0.00017118318292864943
hd,0.00017029488905488202
deep,0.00016767784785542972
me,0.00016369519957682617
family,0.00016117294143214167
home,0.00016067578834129867
you,0.00015845632415383598
out,0.00014526538058134975
loved,0.00014246713847872647
was,0.00013979880915510675
last,0.0001381080540860629
what,0.00013585648622772758
no,0.00013469708673871918
...,0.00013200765238252643
depressed,0.0001319402319600508
episode,0.00012761837327464795
up,0.0001272821780560207
give,0.00012297842439087012
it,0.00012101666766985134
end,0.00012067168700014008
months,0.00012050055687495842
sad,0.00011845618683992143
work,0.00011845029272687195
going,0.00011441489203077384
im,0.00011364006746185219
my,0.00011331903377321764
person,0.00011259460052315262
the,0.000112557862640017
day,0.00010963977330410064
long,0.0001073365539146683
am,9.933243420913709e-05
only,9.640615712669387e-05
lost,9.260635383725457e-05
feel,9.01449224481136e-05
just,8.81424062011253e-05
emotions,8.538184044937225e-05
over,8.27683802630087e-05
ever,8.26792398811449e-05
one,8.231451596429906e-05
ia,7.959119329825626e-05
week,7.657421070916826e-05
man,7.593823587133859e-05
get,7.57986179771499e-05
treatment,7.38120841106138e-05
med,7.217747338472691e-05
po,6.781117493422546e-05
manic,6.462545085620756e-05
please,6.439554920234514e-05
through,6.401127869063809e-05
which,6.182674690080603e-05
especially,5.7051580976500795e-05
pretty,5.702529779227916e-05
too,5.353238514595028e-05
those,5.170666645426536e-05
time,5.137303992341913e-05
think,4.671595303823944e-05
che,4.664956941269338e-05
well,4.58081408775494e-05
experience,4.422360188982566e-05
never,4.231203547533369e-05
hurt,4.1930941932832866e-05
relationship,4.0141148019756656e-05
kill,3.863795263896464e-05
often,3.813632602600592e-05
all,3.7717702816601505e-05
don,3.7622480363097566e-05
away,3.722281261768027e-05
still,3.691901432982073e-05
bad,3.4440921516371805e-05
month,3.362895343646718e-05
into,3.207108178078973e-05
year,3.116108975766772e-05
ay,3.104259909984345e-05
next,2.9814646950399037e-05
but,2.9352530502460706e-05
doctor,2.9222978772243852e-05
every,2.845165384239105e-05
suicidal,2.802147241709463e-05
old,2.799565432572611e-05
again,2.7620475805179012e-05
things,2.713466565182898e-05
night,2.5936302154150326e-05
reason,2.5302246081082556e-05
when,2.5208113460063363e-05
sex,2.4900344897105242e-05
any,2.414584687358001e-05
want,2.3859448250815067e-05
?),2.3739046203748632e-05
fat,2.3632703118892096e-05
low,2.3486742520617554e-05
if,2.3438835443003983e-05
currently,2.254866694784141e-05
myself,2.175691044542943e-05
able,2.163626400033536e-05
sometimes,2.1404781546152662e-05
tired,2.125803585941968e-05
its,2.103026272379793e-05
less,2.098532422678545e-05
were,2.095121507750264e-05
how,2.0813242609950645e-05
by,2.0696942328868317e-05
until,2.0276496949615346e-05
parents,1.9511432615867568e-05
same,1.9406908677410684e-05
some,1.9099824089607865e-05
cannot,1.9039513783051614e-05
about,1.8721137555151774e-05
around,1.830826590776269e-05
wish,1.799800823694871e-05
since,1.7717796229784915e-05
off,1.7537218639063212e-05
from,1.738195066991466e-05
happy,1.733283473489185e-05
feels,1.6875083247214206e-05
id,1.6818318727018777e-05
having,1.6652838371555845e-05
die,1.6356703508790815e-05
finally,1.6232460590496583e-05
being,1.5678396903240354e-05
or,1.5661152684305518e-05
body,1.55167964900708e-05
se,1.5266260409892613e-05
without,1.4766572955219695e-05
then,1.4728346889114618e-05
really,1.4419916044516868e-05
thoughts,1.4211459453387457e-05
why,1.3880209204823283e-05
living,1.345188851094766e-05
before,1.2964706646319732e-05
very,1.2237074751434799e-05
than,1.2095048077753745e-05
self,1.208359276461124e-05
where,1.1984436218881455e-05
anymore,1.1772986994174062e-05
does,1.1763510656237486e-05
care,1.1737332079064799e-05
worth,1.1562601306043993e-05
more,1.0783232463988194e-05
job,1.0503229330222692e-05
love,1.0400848532299279e-05
better,1.0245052787164846e-05
always,1.0061531810379165e-05
title,1.0040524784926674e-05
will,9.92562202100089e-06
near,9.662549928179942e-06
best,9.258126283384627e-06
down,9.096636887306886e-06
parent,8.721423739643797e-06
take,8.43703643719588e-06
here,8.379157179660979e-06
feeling,8.27735781664766e-06
thinking,8.14066305565575e-06
find,8.126777743200364e-06
anything,7.870825281012609e-06
college,7.870090409293576e-06
even,7.830093045413377e-06
help,7.815908645625314e-06
motivation,7.760814545084335e-06
..,7.661549261683831e-06
almost,7.525699932860637e-06
therapy,7.49682508285332e-06
back,7.372451875653496e-06
sick,7.359170240306412e-06
heart,6.699920959363226e-06
them,6.3112629125801805e-06
health,6.004052465868881e-06
saying,5.96556734914581e-06
talk,5.948518207787856e-06
single,5.8164814618066885e-06
tried,5.739763082601712e-06
suicide,5.699667894987215e-06
yourself,5.6575491953481105e-06
thing,5.615451527773985e-06
pain,5.6081807997543365e-06
world,5.349662425639205e-06
school,5.287868740803485e-06
hard,4.27246413892135e-06
times,3.970667762587254e-06
anywhere,3.869734352216862e-06
turn,3.7862882133291955e-06
thought,3.5425423448032234e-06
gets,3.4483521934210635e-06
ve,3.317463627657465e-06
online,2.9530209531003493e-06
others,2.5371740927463784e-06
