word,mean_shap,count
its,2.9727073504279056,3
people,2.2595907777898296,3
this,1.8690166608721483,8
about,1.796323627050567,7
here,1.671452482541402,3
there,1.4604811683453591,5
are,1.4492633193731308,3
would,1.1198047312451915,6
love,1.0260198498490354,3
but,0.925393578625517,8
that,0.9161096035915596,11
anything,0.8469224274158478,3
feeling,0.8072814165155732,17
and,0.7969350309217589,28
have,0.790283280070677,6
one,0.6885342225432396,3
his,0.6572472700693955,3
out,0.61485753190791,5
feel,0.5983449759170867,32
for,0.5498067698790692,8
