token,mean_importance
not,0.00959662218504794
agitated,0.007224392952897081
dissatisfied,0.0067422217689454556
ive,0.006277483157532515
how,0.0060104561659197015
frustrated,0.005992732368516347
still,0.005641315903631039
him,0.005545683370428378
next,0.004575670880285543
offended,0.00448716642040381
he,0.004391868633319973
what,0.00393679638390105
pretty,0.0036411060912845037
each,0.0032993088146516434
had,0.002964137457229299
over,0.0025705489355611157
less,0.002430483590311875
was,0.0021471022481754126
has,0.002136200279892364
because,0.0019912216567945507
and,0.0018209222065326766
is,0.0017434577642537381
im,0.0016247666873141497
me,0.001614483246639258
it,0.0015889526068804116
they,0.001552943048227462
time,0.0014104471645926726
got,0.0013508000735669157
have,0.0012835417997537565
feels,0.0012742932891948537
for,0.0012630690646748168
irritated,0.001247611477447208
of,0.0011569069889157452
do,0.0011331222567605437
in,0.0010983953923914668
so,0.0010939953299748595
know,0.001084987729882414
her,0.001038257031905232
last,0.0009226289972161794
feel,0.0009083341498197228
feeling,0.0009006456261002111
my,0.0008536647162410796
started,0.0007758948316525979
today,0.000761887735431325
when,0.0007233273550809827
to,0.0007086994222448838
don,0.0006996596838083254
been,0.0006983681018482458
ve,0.000691855338421495
the,0.0006829795886985196
irrit,0.0006767248463196059
crank,0.0006760871110600419
stubborn,0.000670523259032052
this,0.0006293710280829146
cold,0.0005818366084137475
all,0.0005674835631452879
fucked,0.0005470316124653133
could,0.0005468631671305957
with,0.000527711151062249
think,0.0005260164536593948
really,0.000517267203576921
together,0.0004600808776255387
at,0.0004553924756971985
up,0.0004448180250619771
things,0.0004403777728991069
be,0.0004330686806497397
want,0.0004229925084473507
out,0.00041636725782154824
just,0.00040376798410761693
can,0.00038367407350961005
here,0.0003437478615069267
now,0.0003252251764414333
that,0.00032336896628170177
one,0.000311769136563574
but,0.000301632416267239
disgusted,0.00029179415105318185
able,0.00027707204086861265
back,0.0002692039177721502
angry,0.00023936007055453957
way,0.00023209668397612405
ful,0.00022599828662350774
you,0.0002144954224453007
feelings,0.00021193113692182428
very,0.00019869299873270002
see,0.0001873089192182912
oh,0.00018332269003925225
people,0.00017632694865217977
too,0.0001711181085397584
as,0.00015894109916795665
person,0.0001548773495869682
insulted,0.0001453421844720045
hated,0.00014268191080191173
like,0.00013510691203464376
being,0.00013130698577394165
about,0.00012993896013670434
there,0.00012435741943287817
dangerous,0.00012132794593829506
ing,0.00012072396293660859
make,0.00011676070391786197
more,0.00011620205562697568
myself,0.00011380213709344389
get,9.947748976628646e-05
also,9.85094417652969e-05
life,9.446045078220777e-05
name,8.735794593424846e-05
thinking,8.226970415610897e-05
or,8.211253452827805e-05
rude,8.141271661900516e-05
its,8.081968250432207e-05
am,7.550290126800974e-05
should,6.682595790152845e-05
href,6.581106936209835e-05
selfish,6.409484149116906e-05
impatient,5.880821966760171e-05
own,5.7783431960463837e-05
those,5.701267825012716e-05
she,5.582432913797675e-05
would,4.584401024961456e-05
on,4.5111385588825215e-05
even,4.2725371031338e-05
if,3.8892130578460635e-05
who,3.8476057284242415e-05
day,3.782010759323384e-05
right,3.6503786607985e-05
are,3.624160929878902e-05
from,3.607509415815002e-05
http,3.014164940395858e-05
loved,2.3553828289853602e-05
ones,6.962167769112663e-06
