word,mean_shap,count
don,2.192266861597697,3
sweet,1.4140223956686289,3
feel,0.8684789457850122,38
how,0.7607402113668892,3
love,0.6858969347293689,7
which,0.6430521926376969,3
every,0.6105922089288166,3
for,0.5726858758052913,8
not,0.5325006552739069,5
still,0.5106790799763985,3
feeling,0.4154433280999683,16
can,0.4068359465163667,4
that,0.40639801459049824,15
this,0.4059526709779675,8
look,0.36790795835743967,3
but,0.35378677864112734,6
now,0.3387274764972972,4
determined,0.3289952898194315,3
and,0.29584701357939025,32
see,0.25616853734633577,3
