token,mean_importance
start,0.40564867861212406
long,0.3875285134185106
why,0.37308571596562007
her,0.29786744177799845
all,0.2644438290947922
'm,0.24435766481555118
not,0.24091811228669638
this,0.24022953047521392
been,0.21713458665726648
only,0.197271264295523
being,0.19615252124422114
getting,0.19567439690581523
's,0.1807653101384858
for,0.16804472815996027
are,0.15652587605685161
even,0.1501076408532234
know,0.14988934841458104
in,0.1493992700630871
an,0.14786018879458424
she,0.13992899876029696
me,0.1396950443058813
make,0.13386751890842183
life,0.1319529550940691
have,0.13171346139097295
't,0.1290878069188087
at,0.1290570168184786
was,0.12007401169599193
my,0.11872663885174006
and,0.11827819075741623
your,0.11237343333777972
or,0.1103929288830841
of,0.10954475293210635
one,0.10813139358937665
be,0.09815872609942744
had,0.09783841208773084
but,0.09284601088604011
...,0.0928262382124861
thought,0.09082894321666875
you,0.08665199012244784
best,0.08528842135880647
sleep,0.08518254398950376
so,0.08357217474886056
is,0.08303847888221397
love,0.07978437446308817
want,0.07683389075034276
some,0.07649773565708529
right,0.07268585704587167
much,0.07213110145702169
did,0.06970770100178925
there,0.06707245025463635
that,0.06446496194824985
win,0.06381752851757483
god,0.062179915606975555
up,0.057297680585270426
with,0.057130031255655925
it,0.05500464711942344
as,0.054955131987298955
what,0.05359299186186815
who,0.05315201742147716
he,0.04668242117764344
said,0.04384969325910788
to,0.04367219006562977
no,0.04165775497131108
asked,0.04155889463921388
we,0.04097288358025253
if,0.03941170827674796
about,0.03716249045191944
oh,0.03449974070463213
after,0.03427132863119672
when,0.03302573849941837
..,0.02961694363936355
asking,0.027008974790078355
then,0.02607627782817872
on,0.025445076359119412
going,0.024964502728835214
look,0.020250879230237235
they,0.020201677378887933
nt,0.020008993034328643
out,0.01942951639042197
face,0.017453477316848875
would,0.015788348758178472
the,0.015551150126237404
got,0.008520482776930294
like,0.008261333311667032
where,0.007214749942553074
them,0.006276714183210667
get,0.005926751544393483
by,0.005118355456033896
just,0.005064806408174465
same,0.0043668265864198474
morning,0.004087517636435223
really,0.003454828588292003
bad,0.0032209684702268404
ha,0.0031155835426943668
do,0.0026638174495019484
will,0.002530633054448117
sad,0.00236003616846574
very,0.002169125067302957
mother,0.0020790362905245274
can,0.001662456489611941
good,0.0011412039519720046
don,0.00069073171744094
blah,0.0006199322912531594
everyone,0.0006149717446533032
go,0.00042185458369203843
am,0.0002716958906603395
think,0.00025895722183122416
=>,0.00019365457119420172
now,0.00018929942525574005
though,0.00017501788685573652
say,0.00017042533484830832
new,0.00015558593440800905
see,0.00012315637407785593
yeah,0.00011833983686907838
may,0.00011065738120426734
twitter,7.752371796717246e-05
aw,6.559641587955412e-05
com,6.320809552562423e-05
quot,5.410030310789201e-05
ad,4.818338402401423e-05
him,4.676048289790439e-05
today,4.5144964360588347e-05
ati,4.1201181981402137e-05
ow,3.697713267077537e-05
money,3.3401678289616633e-05
sw,3.0392903984951165e-05
too,2.8197426900078426e-05
