token,mean_importance
oh,1.7878099532341973
god,1.3223914202778058
them,0.9237954872126769
they,0.6276176597869684
why,0.5164986244465885
sad,0.5094727488746381
even,0.4311293354689302
make,0.39594581085354247
right,0.26093244758453693
in,0.24577913556286626
of,0.22190230536671152
or,0.20385305185936886
being,0.18588884969085484
now,0.1792502645905188
life,0.15049616060059634
her,0.14931364197157868
do,0.14856690616634297
up,0.1461175344111325
some,0.1454036979450848
know,0.14528631384655455
have,0.13608278009208638
so,0.12127151595005772
an,0.10476751588703337
not,0.09760214167566422
to,0.08949212390817937
me,0.07048279786886269
with,0.06486777969003014
morning,0.06059230095888779
ha,0.05366124377663558
as,0.052884399536196725
want,0.0519006552243809
she,0.04938188119295875
ing,0.0473587912630137
for,0.04573791268978225
very,0.04193052048904065
much,0.04114006333501103
are,0.039746237284210416
on,0.039655163104422776
there,0.036746294027580007
my,0.03154621951542044
but,0.030306138383325146
it,0.030217662913465965
and,0.02688537529250177
tar,0.02073138269285361
money,0.01592193630009812
you,0.015160374280535157
about,0.013565634073074762
be,0.013336012865329394
who,0.010912101458719311
been,0.00924612915769103
thought,0.00912652844696519
start,0.008271665317200435
because,0.007467432087044775
everyone,0.006878125354584578
where,0.0067715140103246085
all,0.0055174577773110895
long,0.005410548689542338
this,0.004868859615170449
was,0.004709232714297038
look,0.00470571500591177
good,0.004653361537163748
though,0.0043596008023693384
face,0.0042882362176897
bad,0.0041933139709726674
asking,0.004041429971645509
getting,0.0036589548212759837
the,0.003610600704378157
only,0.0034081306109783327
when,0.003317318018162041
mother,0.003035564828223869
ya,0.0029389710931961113
what,0.0029388025476302054
at,0.00273267131033208
same,0.0025710421925850824
had,0.002486384606891079
one,0.002184966317924721
just,0.0021842343577797387
asked,0.0021681280340999365
did,0.002164337857417801
best,0.0020882531571260188
your,0.0020670093810622346
win,0.002043179376869375
got,0.002015432190091815
said,0.001998532628931571
that,0.0019045698355902069
he,0.0018373948517234698
is,0.0017719314712286134
would,0.0015162634467742464
get,0.0014360929764734465
if,0.0013475509120326023
swat,0.0012966689149228234
like,0.0012177140571212578
sleep,0.000944928842727677
love,0.0005066489429736976
we,0.0004286332768970169
hh,0.00038222967414185404
see,0.00023163117596899005
twitter,0.00018949442892335355
aa,0.00017282733024330809
today,0.0001654313209655811
go,0.00016386927669979437
com,0.00015400342332820097
new,0.00014262571494327858
am,0.00013737365861743456
ba,0.0001179588507511653
then,0.00011430328158894554
after,8.764822147592592e-05
going,8.606791319228553e-05
yeah,8.566681511486725e-05
really,7.621588974870974e-05
blah,7.608730569093798e-05
can,6.856059523367246e-05
think,5.6650354963494465e-05
wish,5.63001024905437e-05
out,5.498282098415075e-05
quo,4.916318812320242e-05
by,4.826295298698824e-05
will,4.192283472548297e-05
may,3.780454062507488e-05
no,3.6770714814338135e-05
him,3.557290256139822e-05
don,3.036722009710502e-05
too,2.935216957666853e-05
ow,2.827649344302093e-05
say,2.471692702480747e-05
ll,2.1231983737379778e-05
