token,mean_importance
myself,5.234453996808043
feels,5.013937666295533
less,4.68298747514685
sad,2.594463056231689
alone,2.1805333925100663
his,1.9250488554437954
numb,1.791764907509787
mad,1.483227123816808
idiot,1.393004943927129
are,1.3669098134463031
there,1.3371168439043686
year,1.2055638835126956
can,1.2037357780314375
these,1.181562316564244
got,1.1519861001434037
iv,0.9609891399741173
more,0.9385789902783775
as,0.8952049760428054
him,0.8571773857809604
not,0.8052201207928275
have,0.8033881077683873
how,0.7297411967662507
seeing,0.7213988558141864
feel,0.6399833193693443
they,0.6190053603301445
that,0.615102668059278
ic,0.6039910018444061
home,0.5936997261226983
feeling,0.5913024112708425
bit,0.5872286022258777
than,0.5860239623325469
like,0.575399297142576
di,0.5459469537842475
ed,0.5040745693666395
but,0.4950828976455093
them,0.4758257287428153
see,0.4756650297795204
any,0.4632535860873759
back,0.44153258680792834
really,0.4370138897671235
emotional,0.4315092874749098
my,0.42332377344352307
was,0.421693989909597
out,0.4173221676220627
im,0.41167437720287126
because,0.4090758373873541
am,0.3824592375163583
start,0.36204047066469985
when,0.33041194171755706
get,0.3207782923470534
been,0.3062711764650885
embarrassed,0.3009978876992439
little,0.3003224125905035
and,0.2950770601579669
for,0.2842036510662638
doomed,0.28098851442337036
to,0.27263423838653705
is,0.2600867539828566
all,0.25120719311315853
at,0.24897117121078985
just,0.24324657927250623
in,0.23248832540502917
devastated,0.22849264492591223
this,0.21088839560096467
on,0.21021645068685757
until,0.20469580378266983
right,0.19187513686010788
be,0.17562713696356191
of,0.16047788026021823
now,0.12579594196927246
the,0.12326052980125092
ashamed,0.11649998052507726
awful,0.08474719829488701
days,0.08356097340583801
so,0.07881278058169171
crap,0.06086011976003647
from,0.055638980991976235
with,0.052977578261197776
being,0.04792500816984102
py,0.039802908431738615
you,0.03401779265914229
un,0.03313657244689239
me,0.030697167130431177
very,0.024500906077264517
up,0.024241791208851282
their,0.023225868825951086
about,0.018756075946709774
every,0.01830648157435159
time,0.01643757630465968
it,0.01472607631670447
want,0.012437723626741596
who,0.01209323774673976
try,0.008745216640818398
would,0.007892900296913771
regret,0.006036399077856913
people,0.004568632824157248
lore,0.004221681447234005
never,0.0026049279452612004
or,0.002496601118504519
stop,0.0018170861828063305
ful,0.0013299453967192676
always,0.001028128620419011
life,0.0007944459234749957
hard,0.0006540418253280222
boring,0.000508702956722118
do,0.00029186692829950644
