token,mean_importance
rita,0.9770640819430506
ir,0.49384656274924055
ble,0.44038976265195134
is,0.34308395171865413
all,0.2583482346053074
started,0.17748536550667873
im,0.15462393388099827
agitated,0.13203266923422538
hated,0.1259179126257853
when,0.06053206954966299
irritated,0.05769664453691803
and,0.04540532426649881
feel,0.03011864054646196
me,0.02997931728259573
about,0.022577613485087307
things,0.02216280875503192
they,0.021229419649353078
offended,0.019577265404526163
him,0.017863411288999487
not,0.01656666217422753
was,0.014603228269243118
more,0.013970880827400833
cold,0.013910089445137904
dangerous,0.013850550647475757
because,0.013827780262363375
myself,0.011872552890833634
to,0.01094349277582296
still,0.010677122380002402
even,0.009082454485451308
had,0.008455061455242685
impatient,0.008184644174737818
iv,0.007651066979936634
each,0.007511898242986111
together,0.007476085666288175
how,0.0074113609498454025
think,0.006160962953981652
ve,0.006058872522165378
over,0.005388935975133791
what,0.005157688148496423
have,0.005005271053924413
thinking,0.004512636252911761
but,0.004358022483938839
next,0.004321488766436232
for,0.004315309424889753
stubborn,0.0041392486697683735
feeling,0.003854062936018939
with,0.0036911210640028004
feelings,0.00358997475511084
been,0.0034650327397230283
last,0.003366985587945237
time,0.0032753693967606523
in,0.003066107780429005
so,0.0029207852813851786
of,0.002885282250531418
dissatisfied,0.002818006013209621
rude,0.002772414614030692
my,0.0025205510505657003
hr,0.0024268349019015054
its,0.0023852507777822516
http,0.0022843919699274315
person,0.002223170351498993
can,0.002222287816818737
loved,0.0021946752285657567
at,0.002177577172980299
the,0.0019480759407883852
ef,0.0018771487120829988
hate,0.001876861685559561
one,0.001858732908355402
very,0.0017032364886680235
it,0.0016171833866438748
this,0.0016166703840099217
up,0.0015233708982123062
she,0.0014164470873462658
just,0.0013410172437488654
own,0.0012756564416728604
if,0.0012383128739656968
life,0.0011836543944809819
get,0.001106847407618261
know,0.0010923308477686078
crank,0.0010593150824812863
on,0.0009940205955899727
name,0.00094496741197266
like,0.0009190482782742038
should,0.0009123419804382138
her,0.0008593851319346868
am,0.0008279838767180081
disgusted,0.0008037822253754712
way,0.0007844363892218098
frustrated,0.0007672983617036758
don,0.0007626004294252198
now,0.0007469752558141149
really,0.0007308140047825873
has,0.0007261886739797774
from,0.0007075688190525398
no,0.0006674205255876586
make,0.0006371895433403552
less,0.0006287215655902401
that,0.0005818131977202543
back,0.0005762073066459076
ful,0.0005710682216886198
got,0.0005578539239650127
would,0.00055348945534206
selfish,0.0005217780781094916
here,0.0005144008869137906
today,0.000495319536033397
fucked,0.00042135022037352127
oh,0.00041738982933262986
want,0.0004168886052866583
angry,0.0003922731597413076
pretty,0.00039114711156192544
being,0.000356074441394109
right,0.0003223586735051261
see,0.0003164370458155948
insulted,0.0003061091174458852
you,0.0002397948723000809
also,0.00023258820268286703
who,0.00022873733223605086
those,0.00021462061704369262
there,0.0002042080932369572
are,0.00019871942974229265
or,0.0001728157558318344
people,0.0001492640719031139
too,0.00014277170453169674
day,0.000133681944134878
could,0.00013277587095217314
be,0.00011482408838977183
feels,0.00010544582194900916
do,9.153803681069153e-05
out,6.521574283624432e-05
as,5.314636246112059e-05
gr,1.847348266892368e-05
ones,1.6193286076789565e-05
