token,mean_importance
should,4.7196241625739885
after,3.4130063837106945
or,2.9970306555114803
get,2.9941784508049145
days,2.8780968395881246
can,2.417363337165524
know,2.2477445493896084
calm,2.1067279936590544
much,1.9823396834884381
is,1.7967307877994958
not,1.5159081209999385
just,1.506043485218966
because,1.215875070182483
sweet,1.043666826716617
good,1.0144771476794479
its,0.9244113078457303
for,0.8290284939227733
feel,0.7290490507367691
so,0.7179991348328678
this,0.6625459280531686
now,0.6472812715170827
feeling,0.5553401015340933
out,0.5366792943499215
well,0.5265550246695057
want,0.5236751551137786
my,0.5229900509840081
about,0.5173960364737799
in,0.5117143431913143
and,0.5045127169373975
some,0.48579744686867343
it,0.4713903813634189
before,0.44300655104161707
do,0.4308337875937468
am,0.34790742371175537
like,0.33807252804313304
that,0.31708642523564473
something,0.3003960619635109
but,0.2735175327725301
im,0.26331227320882206
going,0.2606530722146999
other,0.23434368673224526
to,0.2199439809198895
have,0.1325960478071992
the,0.1282914019164663
be,0.11760167144649875
me,0.0922048228870673
resolved,0.06418700117016367
very,0.056168580756093434
of,0.05536696702512762
way,0.05268746428191662
his,0.05079545064654667
joy,0.04913301806573145
he,0.04594121935466925
are,0.03778170904820399
when,0.037174701501109145
ful,0.03199956914492456
him,0.027109130864118924
children,0.026826582486440504
one,0.02556723273009993
from,0.023432297748229303
pretty,0.02327446983170895
workout,0.01871320414162862
less,0.01846323632344138
cricket,0.017572557864089806
myself,0.01675685303901749
you,0.01618943333252381
will,0.015805839797621957
comfortable,0.015800616897953052
your,0.015725526563983294
as,0.015626259686905543
has,0.015432207884259697
on,0.012932214731699787
go,0.012878455740519712
more,0.01276569430621583
day,0.012311634412721364
really,0.010944085449106447
people,0.010344326421242537
didn,0.009923345040685186
we,0.009356120562188153
been,0.00896086734974233
with,0.007275177857025028
no,0.006896731094457209
see,0.006828478052436064
was,0.006495148564378421
don,0.00619055179413408
re,0.00596770237916644
need,0.0055337103294732515
even,0.004659647132598366
things,0.004441195788482825
them,0.0042798015196240154
by,0.003304531098820007
which,0.003236295651504406
they,0.0026004913257793305
at,0.002114400334539823
into,0.0016600314793322468
back,0.0013829622852426838
away,0.0009095751593122259
think,0.0008633139611144239
life,0.0006786239779709528
were,0.0006409128964151023
tender,0.0006402045886109894
every,0.000570942370859484
girl,0.000568126282208444
if,0.0005617048969725147
there,0.0005182476452318951
cool,0.00045044790022075176
all,0.0004344179570970092
enough,0.0003941651715043311
never,0.00033086959441182745
what,0.00030673387009301224
ly,0.0002602616189809244
down,0.00012176379323136644
hope,9.619254948726545e-05
than,6.191066116419582e-05
new,3.521584555225369e-05
nothing,3.164743020533933e-05
everything,1.0475937112156922e-05
