word,mean_shap,count
sweet,2.7144665568812343,3
every,2.6436114000631883,3
now,2.634753453144185,4
determined,2.315763791402181,3
don,1.8081251725088805,4
feeling,1.1164373296210783,16
not,0.5776636990980478,5
being,0.565121060499223,4
for,0.5317735321091277,8
love,0.4608795147921358,7
see,0.4539614838383083,3
feel,0.4433975263573302,38
him,0.3105418831498052,3
time,0.30530647033447167,4
that,0.2875352266784616,17
the,0.2501211219728958,32
always,0.1829842577377955,3
something,0.17201841825347705,3
and,0.13097899440342076,32
but,0.11392491468116835,6
