token,mean_importance
there,0.6340164902394463
he,0.5819216527161188
know,0.5715976684150519
want,0.4367379833634004
was,0.436574173917658
what,0.3994284705875543
calm,0.3896481969083349
something,0.3771031030466929
from,0.3177746729206774
is,0.2868948302689508
sweet,0.23772958841800573
before,0.2150296569103375
this,0.1903655438720307
on,0.17882070376174397
day,0.16135877908664042
just,0.16117772016675438
my,0.13963128168306865
can,0.13716560772445519
things,0.13455598421326917
it,0.13024648204061937
more,0.1297970276024595
so,0.1123383912177255
you,0.1078092689817519
and,0.09721080431897612
to,0.0896158297053643
have,0.07760795527266103
be,0.07102614731766979
feel,0.06512691140647277
every,0.06420163119419157
that,0.06284833131869366
resolved,0.06274558722119157
as,0.062477354078859765
about,0.04974535904871531
thats,0.04437147465068847
other,0.04133778777391702
do,0.03725845257531546
in,0.029723773395413777
into,0.026495752773826098
girl,0.026474134010034806
re,0.025717131754693884
down,0.02249267666290204
cool,0.022220571350771934
your,0.021432085174248123
back,0.02077517893339973
never,0.02013075433690877
of,0.018367021634472538
pretty,0.01735673853961219
will,0.016727551609074
much,0.016669184318743646
am,0.016649828636824775
been,0.015010855729390945
should,0.013959571568799825
but,0.013789025073947414
his,0.013652177287440281
are,0.013410633815055917
hope,0.013007925825756198
enough,0.012778761544420073
its,0.012715096834199358
me,0.012551578953109908
they,0.0124822317447979
for,0.01106463979821066
not,0.010837669541680433
him,0.010342166222108063
were,0.010085735569494622
tender,0.009884149073817147
need,0.009632021290599369
the,0.0092866855598206
if,0.00876537123840535
has,0.008373300184985055
by,0.007960604957952455
like,0.007773964374839699
because,0.007757553491683211
now,0.007322335140391563
comfortable,0.007006126688793302
people,0.006646520401773159
or,0.00635583403770094
very,0.00621631478315976
good,0.0061716753722672974
we,0.006034567022854592
with,0.005121635797024737
myself,0.005003175617679921
feeling,0.0049603876766104804
way,0.004391601629322395
going,0.00410919244559409
when,0.004074588720478849
children,0.0034194640150720565
one,0.0033967266957915855
im,0.0033403555431645005
joyful,0.0029972537280021547
days,0.002982780422826181
ly,0.002909121333686926
some,0.0026880184720994293
really,0.002595968122477643
well,0.002356130183519175
at,0.0019181391729944154
them,0.001567810808774084
after,0.0015376944857052877
get,0.0013563330021497677
think,0.001248948462792517
go,0.0009721403741878021
all,0.0006010471404676666
even,0.0004814541835003183
no,0.00045165546907810494
see,0.00042116662128440413
ated,0.0004141140004018477
out,0.0003786964648497815
less,0.00035073585002010077
than,0.00022813228618664047
everything,0.00016726498142816126
which,0.00011000028098351322
new,8.155777322826907e-05
nothing,7.155450748541625e-05
cricket,5.80272389925085e-05
life,3.1155521052520875e-05
