token,mean_importance
anxious,4.678566314763365
fearful,1.81745800262579
scared,0.9820937814365607
about,0.8430579889978357
pain,0.6796409563685302
overwhelmed,0.6031718842990813
out,0.5935676122705141
just,0.5926362389430627
will,0.48837012951298675
feeling,0.45119948254232717
up,0.41146082896739244
terrified,0.37433311477288955
was,0.3524866435725605
agitated,0.3506385323125869
any,0.32330100563315983
or,0.31469782821173453
thought,0.2874650978495386
felt,0.27813759338520566
part,0.2769751486775931
also,0.2741986890687258
my,0.22892088640307406
good,0.22648229198724343
it,0.22379433915247157
comes,0.21394145869029066
time,0.20616903313202783
were,0.19351725662818353
uncertain,0.19219656847417355
if,0.1906114931001639
still,0.18629766186253013
your,0.1834601417843563
you,0.16554987818614922
on,0.1440458105210452
thing,0.1385868224169826
re,0.13517528672946355
make,0.12336594528733258
me,0.10046235584222477
little,0.09340775241844312
in,0.08556824564275303
off,0.0826047273973624
feel,0.07924673003789603
so,0.07880991022648232
when,0.06830353720336764
im,0.05770461708979222
are,0.05597686045035112
this,0.05088121334836614
going,0.050576828408728555
and,0.050042638786280236
strange,0.04990592233662028
the,0.046886999148564035
really,0.04615625113894401
am,0.04406445206157312
iv,0.040177141156164
feels,0.03392458503367379
of,0.031585801016791336
too,0.02603328542318195
right,0.025932212065526983
situation,0.023567669772698235
how,0.021505004221353374
that,0.02121706940164196
day,0.01915185950989932
intimidated,0.018676229039556347
been,0.016771785098535476
to,0.016620684654220515
threatened,0.01427852210099445
can,0.014132060771771648
year,0.01400581692966322
way,0.013919739245238816
told,0.013412010929945003
help,0.012710730348771904
there,0.012204995040924082
restless,0.01075950606415669
much,0.01010136834035317
home,0.0091435151132373
an,0.008895614696333118
had,0.008763466238633555
book,0.008458474328411588
trying,0.00834700174164027
some,0.00814292017215242
guys,0.00810269375021259
over,0.008021356648532674
get,0.007658934696034218
shaky,0.007491772164939903
thin,0.007313206908293068
though,0.0072911510966757005
nothing,0.0068927865553026395
someone,0.0068817098301678925
sometimes,0.0062329467085267725
take,0.006058269432590653
what,0.005885998180625999
anything,0.0057755959905989585
at,0.005224462441623877
easy,0.004933678850647993
heart,0.004621679356205277
uncomfortable,0.00429266958781227
life,0.004273488671606174
actually,0.003997591578809079
for,0.0039937212340274445
as,0.003913368873125162
by,0.0038817072054371238
do,0.0037248470892639793
afraid,0.003652185542159714
shy,0.0035813882010794864
whatever,0.0035015374063126123
could,0.003396869515806126
today,0.0033213345013791695
wanted,0.0032979246322308122
she,0.0032909638512137462
very,0.0031855705726359573
should,0.0031671792894485407
because,0.00307844921129193
only,0.003057152515339112
think,0.002776306276246032
be,0.0026751173527372885
again,0.002596343309414806
with,0.0024612989597179486
see,0.0024387169995634395
her,0.0023649373937847224
less,0.0019978497082774995
reluctant,0.0018959285094751976
like,0.0018361297412108494
not,0.0017044850761521956
bit,0.0015922974871500628
without,0.0014247621656977572
but,0.0013297256227490703
know,0.0011596925663184265
now,0.0011068767897086218
don,0.0010709314044561324
is,0.0010090389806624873
frightened,0.0009228262551914668
them,0.0009142670877887819
shaken,0.0008109069603960961
he,0.000786542970672599
would,0.0006853759271810608
love,0.0005588806719363978
who,0.0005080501565544182
all,0.0003997465752036078
have,0.00023274159216920713
did,0.0002214523425209336
they,0.00020822097311186857
slightly,0.0001795750249584671
people,8.917575026619791e-05
other,4.891707643158346e-05
away,4.631883211914101e-05
from,3.725456035681418e-05
go,1.345064750542709e-05
