token,mean_importance
life,0.8772688970572441
thought,0.6994206338422373
god,0.6027329416635135
some,0.5625153133878484
when,0.5263728751015151
ha,0.4694922553981087
..,0.42639275134327664
asked,0.3415565222579365
know,0.3319036493659951
been,0.31219137579901146
are,0.30922714607246843
love,0.2621007590096269
going,0.26147583240284195
good,0.23482789380068425
just,0.22565461339763715
they,0.2216722552863454
asking,0.18409179849550128
my,0.13577458210511395
't,0.11516531451297851
or,0.08959434141870588
you,0.08193693403309225
that,0.07988393816144491
oh,0.07758875795601246
in,0.06925854067129775
like,0.05797936825102726
not,0.055022603885057225
'm,0.04218416151464529
where,0.0362140998004179
is,0.033742188642582216
want,0.0313362734175991
to,0.025561411121904305
have,0.02443616727711439
by,0.020448911247513024
even,0.017901604782309732
but,0.015084719095036482
the,0.014910660047105779
being,0.014560269785579293
who,0.011638221105386037
so,0.011208398551116262
did,0.008640448949639298
be,0.008404644762777025
of,0.008329776885633085
said,0.007678522731293924
say,0.006979507335927337
best,0.006707968112702171
your,0.0065548807515369845
what,0.0058344874934326595
he,0.005452673537042251
was,0.00521689172819606
think,0.00493831478888751
right,0.0044781899749068545
about,0.004392597997139092
win,0.004058171667566057
start,0.0037878119637753116
long,0.0037210781156318262
there,0.0032444788608700036
face,0.002846296141797211
sleep,0.002790490136248991
morning,0.0025614145597501192
had,0.0025598643929697572
may,0.0024351844816313437
now,0.00236230262380559
make,0.0021435902308439836
we,0.002079393634630833
all,0.0019942514215169163
for,0.0018784776805530004
=>,0.0017637072596699
him,0.0017443512479076162
it,0.0016914299546798525
and,0.0016727332616067977
very,0.0016438064762041905
this,0.0015834638818180086
if,0.0015417315298691392
only,0.0014943936876079533
as,0.0014848045248072594
much,0.0014480661442835949
...,0.0014397915268394474
her,0.0014093258501816307
will,0.0013635202394652879
sad,0.0012723458632535767
quot,0.0012515264315879904
nt,0.001189425656775711
me,0.0011637831707452682
why,0.0011611850253151108
then,0.0011357121678884142
getting,0.0011053239059037878
them,0.001084541395054354
at,0.0010692504787584768
one,0.0010661319735975536
look,0.0010480410843835368
after,0.0010233858047286049
an,0.0009383351323776878
com,0.0009131963912902089
got,0.0008892231289792107
with,0.000882639496558113
mother,0.0008820925468171481
do,0.0008719139805180021
bad,0.0008547807977135692
no,0.0008010010606085416
's,0.0007889797276220634
up,0.0007065270714520011
yeah,0.0006128938766778447
she,0.0005934628785325913
would,0.0005326575210347073
on,0.0005194460245547816
everyone,0.0005174367300545176
am,0.0005068044702056795
get,0.00039128035423345863
out,0.00035704630621088046
twitter,0.00031183546282894287
too,0.0002970058894788963
don,0.0002865620881493669
go,0.0002521974762203172
today,0.00025009431647049496
can,0.0002497288266264756
really,0.00022465087531600147
same,0.00018164997936764848
blah,0.00016541143607658645
ati,0.0001482941055049499
see,0.00013742945884587243
aw,0.0001316535757117284
ow,0.00012944872529866794
sw,0.0001200550323119387
though,0.00011950052733785317
ad,0.00011782362950422491
money,0.00011750032717827708
new,0.00011580147656786721
