word,mean_gradient,count
its,0.8540298520820215,3
little,0.8242831271733545,3
this,0.5476324724440929,8
for,0.41102982010988853,8
lame,0.3863606904390811,3
not,0.2600606330464264,6
feeling,0.23447248933413956,17
feel,0.1500347961249986,32
are,0.1411607622091348,3
really,0.12496067801354609,3
that,0.12282586797002958,11
like,0.11645797878476774,7
they,0.11290137369845372,6
have,0.1101923866517609,6
was,0.097198079590372,9
and,0.0923409948988722,28
one,0.08598739179433323,4
about,0.08520755629823336,7
here,0.08206704811891541,3
those,0.07944220095669152,4
