word,mean_gradient,count
fake,2.6138079559411076,3
lame,1.855175257466423,3
feeling,0.9263128006988315,17
not,0.8964917891510898,6
out,0.8576525609969394,5
any,0.8490733163877545,3
have,0.8194424785372879,6
time,0.7710506430982301,3
this,0.5623252075647542,8
been,0.5403249763694475,4
little,0.46485373109559686,3
feel,0.3977464079484889,32
one,0.29131306521594524,4
because,0.28490812331438065,3
there,0.23278200496497448,4
would,0.20925006937094232,7
when,0.18338223506361828,6
but,0.17386712613097188,8
are,0.1566774893241624,3
about,0.11666434900429781,7
