token,mean_importance
id,4.083003592172948
iotic,3.4561477617438263
less,1.2486039068511066
regret,1.1506404343381291
ashamed,1.003686030919198
nt,0.8960901368409395
ive,0.8255762836924987
ed,0.7345055056375713
right,0.704615289598587
crappy,0.6483229190926068
been,0.6300865756602434
me,0.6156044301445615
his,0.6072308371464411
now,0.5776129393098017
sad,0.5605672539604711
mad,0.5574160357937217
feels,0.5144403893291383
just,0.48609242034321404
until,0.47748445077195356
always,0.4526229150234258
but,0.39653765690408443
am,0.37962368873322705
about,0.3710021851456986
how,0.36365779796506104
so,0.35035983270518045
for,0.3377928642137249
with,0.3367901595114745
would,0.3349353295903711
this,0.32526400639315917
feel,0.31130260739315824
heart,0.2990648178383708
do,0.28509667995604104
as,0.2763556069955939
when,0.265145215683151
because,0.25173983350941853
at,0.2508378617764417
home,0.2389556322207985
is,0.23447778395963653
that,0.23047602890192534
ve,0.22691885545403542
my,0.2194859651846855
of,0.21090776669155853
numb,0.20990586383413756
like,0.20804797377613796
more,0.20225945454876637
you,0.19525928952290478
be,0.19341402063259416
got,0.190733499955968
it,0.18750337844904455
time,0.18159815813872424
dis,0.18062266358174384
awful,0.1712502029404277
im,0.16623929879278876
feeling,0.16481423217242586
myself,0.16215613119493355
him,0.15821479421574622
all,0.14905775073566474
days,0.1461491350661769
than,0.13961232807923807
their,0.13795343471535185
and,0.13581811594421214
who,0.12036794142986765
want,0.11461138884866766
up,0.11011744956340408
un,0.10914447073591874
back,0.10783677356084809
not,0.10560942634451335
the,0.08415799562391789
get,0.0764854667598099
try,0.06657716161854903
to,0.06542403029783218
can,0.061875648315500645
devastated,0.054309532434369125
there,0.048284467644043615
out,0.027419540905092226
or,0.023248173415465447
in,0.023122781413395816
start,0.015879605161899235
embarrassed,0.01225774387906616
was,0.01042739548188365
have,0.009569514460315532
any,0.008373040473088622
on,0.0075728098776380644
bit,0.007260230770043563
they,0.007237964680825826
doomed,0.0069409559946507215
seeing,0.006665816969568065
really,0.006530403340938002
alone,0.005498980230489299
being,0.005225178130785935
from,0.005000209777270876
every,0.004768621292896569
little,0.004655164000723744
emotional,0.004486678119671221
never,0.004344056166398029
see,0.00393946189262806
life,0.0024468828069643678
are,0.001978003497545918
lore,0.0019690506160259247
year,0.0011286553690297296
stop,0.0009395327918658344
them,0.0008777868853095632
these,0.0005809636795675033
very,0.0005356878846214386
hard,0.0003472451642892338
boring,0.000300247397262865
people,0.00021058177831037028
