token,mean_importance
calm,2.230253488989547
think,1.9143686775738995
pretty,0.6647698307310098
feeling,0.5104450690856902
im,0.46925129849786085
want,0.46875544038578354
what,0.417421050734265
which,0.3980888834048528
thats,0.38896612729877234
myself,0.3863459974430346
know,0.3735579074709676
feel,0.29097209346323927
enough,0.28194905701093376
need,0.25493316592182963
ly,0.24778137283283286
ated,0.24557488023371357
be,0.24555174565334295
was,0.24411306209367467
were,0.23656880788621493
is,0.23493015122051777
all,0.2283804238140874
there,0.20823819263023324
but,0.2064598099750583
re,0.2022519658009211
it,0.19227562009990307
and,0.1825826788419037
as,0.179615330820245
to,0.17253029699470382
with,0.1584076848685072
so,0.15125785196253744
about,0.14910104598476953
like,0.14876204451789626
get,0.14865064151126717
way,0.14638704300159588
well,0.14349660950635248
has,0.13721335789341538
resolved,0.10441768572976191
you,0.10050330649343474
he,0.09991186269326136
day,0.0937936809787061
now,0.0905172860317786
in,0.08346295653080399
more,0.0827550403364512
from,0.07991130978007277
the,0.07912716776946682
been,0.07868109607564595
things,0.0772841105548044
that,0.07580227075339752
much,0.07252382013636331
see,0.06730397677165456
every,0.06501098435692257
other,0.0635815343412105
this,0.06301235821010778
they,0.05887493334012106
out,0.05553158034776321
of,0.05253355897043961
can,0.051741742962622086
after,0.04979441502291593
even,0.04962158759326485
for,0.048844800680594096
do,0.04877563422360254
my,0.046145030877014506
on,0.0447563377332699
before,0.044662927687022604
cool,0.043185749052402876
really,0.04133208429751297
going,0.04059413732538815
joyful,0.03493848485716929
have,0.03435121890728815
into,0.03406926382376696
his,0.03163562373310924
we,0.027989070448610518
down,0.027123388834297657
if,0.026466225925832986
by,0.025920200355176348
days,0.025256788868318836
very,0.022424897644668818
no,0.02205516390677076
am,0.022031029819724306
back,0.021988984095150953
one,0.01938981933053583
when,0.018881129574895437
because,0.018494102767726874
something,0.018256960322105442
people,0.014196474881221851
are,0.012675590842263773
hope,0.01250812467575694
never,0.01125537152014052
your,0.010646742402708955
not,0.01023252374475955
comfortable,0.009139460356285175
than,0.009129777918133186
girl,0.009019419662460374
some,0.0089889548253268
go,0.008032690797335817
or,0.008005726399763565
will,0.007959308178396896
at,0.007563733495771885
children,0.006895521619298961
just,0.0065839112205801275
less,0.004964294985256856
sweet,0.004180886644462589
tender,0.004012261362125476
its,0.0038753791068302235
good,0.0038245424802880734
cricket,0.003750608069822192
me,0.0037177333023074815
should,0.0036955408771367124
them,0.0024170642893295733
life,0.0013412663878019278
new,0.0006549922885218015
him,0.0005467896487971302
nothing,0.00023203850014397176
everything,0.00015663290529725296
