token,mean_importance
into,1.2944609062833479
cool,1.1974018833376856
comfortable,1.0571679398417473
back,1.0446427397040678
get,0.8524620374037113
down,0.6799130976996821
because,0.6427520586141326
this,0.6324606559171115
ated,0.6322949563303458
is,0.5997164018287245
from,0.5951496031963188
girl,0.5733149907706926
pretty,0.5369083116799759
not,0.4827208516912833
as,0.4683289504291854
good,0.4552952567473767
people,0.4549396235209618
so,0.45190655630470317
out,0.44986471415385104
my,0.43720576587015786
about,0.3693836877800178
its,0.35684991157268087
it,0.3316897858324075
myself,0.29998512269311406
even,0.2970238776322276
feeling,0.2923781680081811
his,0.27435724237193426
just,0.248967380035703
sweet,0.24567930363173218
need,0.24350608077111247
am,0.2325816835525782
he,0.22763885125459637
if,0.21969060601113596
resolved,0.21528010698966682
will,0.21224524016288343
feel,0.18526539402361492
like,0.1780700358161228
has,0.17149273011636978
with,0.17028442990768156
in,0.16136509422771764
know,0.15851166589709464
we,0.15502333477666574
and,0.13823201474133046
the,0.13638082324782771
every,0.13560569005562684
that,0.13146260136367077
thats,0.1303778144865646
to,0.12837955484235408
joyful,0.10011684572964441
other,0.08977792805853824
have,0.08409359240484168
me,0.08377196653003693
do,0.07269801923897035
children,0.060130608004783426
been,0.053833654481422855
of,0.05294362145020221
for,0.04995563235557451
be,0.04980969997563989
your,0.03831082183647335
much,0.03480230978069206
less,0.027830277802422643
but,0.025987467015511356
way,0.025731729350809474
you,0.02261201983516609
before,0.022607271714514356
very,0.018267903582151728
go,0.017711616323822454
can,0.014507316894560062
calm,0.013743860506413816
when,0.01299820512135089
them,0.01185274343661149
days,0.010102993315285858
some,0.007268382323672995
want,0.00724856146842155
should,0.005983651254306703
going,0.005644132832821924
im,0.005354388929425533
at,0.004116049312142422
no,0.0035250882451691723
are,0.003449785139537198
one,0.0032380122844188008
really,0.0018974502842562895
more,0.0017708990823355937
there,0.0017139985841367888
see,0.001503635639892309
after,0.0010829735401785001
day,0.0009148845726940635
hope,0.0007216325636060598
which,0.0006600397455258644
on,0.00064944986224873
think,0.0006275154046306852
by,0.0006246488461329136
all,0.000585151442075065
new,0.0005756363185961769
ly,0.0005507759863121464
well,0.0005097578450659057
re,0.0004903832741547376
tender,0.00044585986870515626
was,0.0003756799560505897
what,0.00027216475646127945
or,0.00024682706445370667
him,0.00021919531354797073
something,0.00021853130192539538
now,0.000204877387053178
enough,0.00018100653930256763
were,0.00017438245898423096
they,0.0001336814625574334
than,0.00013321058266531813
things,0.00012923557005706243
never,8.910497854230925e-05
cricket,7.271687839723502e-05
everything,4.056737028198162e-05
life,3.439217046737516e-05
nothing,2.9074302574372268e-05
