token,mean_importance
offended,1.275889698297154
agitated,0.822426644784476
dissatisfied,0.8100936757012581
together,0.7224559497487159
ve,0.663348022972059
ive,0.5827530908427434
each,0.5098734295024769
over,0.4742108856841393
today,0.36293868975159665
because,0.34389450008447964
time,0.24008581741206095
just,0.22195831557964993
they,0.20832172961563628
want,0.1899867664087651
but,0.18667342232070042
know,0.15598609271273745
been,0.14336863273651942
have,0.1100839802330292
what,0.09641385411980861
and,0.08334789727318345
irrit,0.08037701342254877
for,0.07806302063810268
feel,0.06643897349667327
so,0.044473201822966074
of,0.040055612655464756
the,0.03766735809722377
able,0.025577882460008066
that,0.02517764168076362
less,0.018050353441746363
now,0.00963922289981513
to,0.007629683362839832
am,0.003768546799364003
irritated,0.0032196341315284373
was,0.0030703083849143047
feelings,0.002757869253400713
can,0.0025887927284202307
all,0.0024141246041153863
don,0.002324365397422904
get,0.002204019239570698
more,0.002090745073170789
from,0.0020362825033165186
hated,0.001800633256304233
is,0.0017229564994825826
disgusted,0.0016750799877627287
think,0.0016347896102161031
make,0.0016185869226319483
should,0.0014408023976102413
about,0.0014323439557171827
things,0.0012739085086650448
way,0.0012475395578803727
frustrated,0.0012286688934182166
im,0.001219243616105814
in,0.0011882084272656357
it,0.0011133371091192304
loved,0.0010905950304428795
got,0.0010484839411901703
also,0.0010426843946333975
me,0.0010186647214408475
be,0.0009891870096604787
my,0.0008933040286270474
feeling,0.0008854258873232842
her,0.0008786437916569412
when,0.0008497827540850267
too,0.0007833642166019672
out,0.0007692681920161704
day,0.0007559439936812851
being,0.0007537760803744378
angry,0.0007186474656919017
myself,0.0006914002894648417
stubborn,0.0006556281459779711
there,0.0006523586058240957
like,0.0006502994746142576
cold,0.0005958197020845546
last,0.0005809823730942298
person,0.0005711066678486532
see,0.0005672569124423413
this,0.0004965871955846524
fucked,0.0004960528021911159
up,0.000496033201488899
feels,0.00048501640291457687
very,0.0004784859172234844
how,0.00047725197024798643
name,0.0004446822058525868
rude,0.00042696202542304363
started,0.0004170723723291303
crank,0.00038933819450903684
next,0.00038013007997506065
with,0.00037965941770986926
its,0.0003589697177327859
back,0.00035832812424511456
ing,0.0003556364823680269
right,0.00035318044986828073
one,0.0003322724369354546
impatient,0.0003053127438761294
at,0.00028552302336930344
people,0.0002709803620746243
you,0.00024388322477382948
dangerous,0.00024363418560824357
life,0.00024268345077871345
she,0.00024180526907002786
him,0.00023371144447992265
not,0.00022954078667680733
could,0.00022937310905035702
do,0.00022347467150514907
had,0.00021632388406942483
has,0.00013894016410631593
or,0.00013637303209179663
pretty,0.0001300113496351211
who,0.00012386288489096842
here,0.00011310650427276414
are,0.0001083706279132457
thinking,0.00010804125364908639
really,9.917649488973741e-05
those,8.877588228036377e-05
he,7.635877591383178e-05
still,7.165221374331547e-05
as,6.567861055373214e-05
even,6.54793022931699e-05
own,6.066718333386234e-05
selfish,5.729640088247834e-05
ful,4.425342194736004e-05
if,4.1345304089190905e-05
on,4.005176197097171e-05
would,3.701648529386148e-05
insulted,2.9991781048011035e-05
href,2.7020988757916104e-05
oh,2.166221383959055e-05
http,1.7954476485707953e-05
ones,4.370850698857491e-06
