token,mean_importance
...,2.1519049375389536
morning,1.830577253970091
very,0.8995691644322505
we,0.6049115181594971
in,0.5713967985488276
if,0.544471776869068
oh,0.4929388498409632
had,0.4341272754478268
god,0.4163747411221266
look,0.4038348879203113
long,0.39457150615962744
'm,0.2994410760840462
asking,0.2816305526648648
he,0.2733627067010629
after,0.26232874294479797
face,0.24844869532262237
even,0.2454056140808721
best,0.22438379149934917
this,0.22425718938070027
getting,0.21595541906469862
why,0.21534200672689016
got,0.20097444893383454
me,0.20041236166444934
then,0.1910670373150424
she,0.18232912192506773
been,0.16631474911118857
out,0.15901342607260935
and,0.15774288622089996
the,0.1563717844114428
no,0.1558347353333147
get,0.15178066828530062
where,0.15084660858762314
is,0.145876560263164
there,0.14382880706689322
would,0.13944590655364664
start,0.13611017114533297
by,0.1132210548207695
but,0.10578724581356172
what,0.10135633522824199
when,0.09316942062537237
so,0.09151450319702689
be,0.08699492180330708
only,0.0862977432225307
not,0.08097302730654216
like,0.07276019846815668
was,0.07261275258712306
being,0.07258003204992747
at,0.06861062607895292
nt,0.06168998757160201
my,0.06080215781696552
of,0.06022650335513238
for,0.05672031116284329
all,0.04644217717721707
to,0.03995997873166038
they,0.037664435972449915
them,0.034066122957256084
one,0.029267551083778796
are,0.026333419505438844
that,0.01328915828692819
money,0.012443041323422221
did,0.011661594409436779
you,0.011445933150153565
do,0.010139379711085894
know,0.008697158809445682
have,0.007169815732822826
her,0.006753649731399492
now,0.006271159490552236
everyone,0.005777734837162522
just,0.005436224495244662
say,0.0054233267619565595
may,0.004790273456213375
new,0.004492064479620694
some,0.004442550044586824
's,0.004334101000949886
him,0.004302527366538318
said,0.0041249923349823804
make,0.0033546842432770063
life,0.003259486784979041
much,0.0028209464402055217
though,0.002754009195996332
bad,0.0021404846395723454
with,0.0016992586834021495
or,0.0016274056632028077
same,0.0015948765103530604
as,0.0015574855287923128
want,0.0013510878217692318
an,0.001308677139422798
up,0.0011662104839615494
't,0.0011157677727927269
it,0.0010511084954922135
on,0.0006947472039466144
thought,0.0006334118303736128
..,0.0005874952917110932
your,0.0005511469271368696
who,0.0005045332800364122
ha,0.0005033158686842398
about,0.0003878452291701251
asked,0.0003740359352377709
love,0.000327587398714968
going,0.00029111688369691063
think,0.00028321107538431534
right,0.00025170381411498965
win,0.0001861700268364075
sleep,0.0001854696856753435
=>,0.00013441895716823638
good,0.0001195442750940856
too,8.79016927228804e-05
go,7.281993821379728e-05
see,6.494582642820508e-05
will,6.456629228068778e-05
com,5.065875514749981e-05
don,4.204156016385241e-05
quot,4.018423332278568e-05
sad,3.915507695637643e-05
yeah,3.645192100520944e-05
twitter,3.1766245835266695e-05
can,3.0504048481816426e-05
mother,2.8125377866672352e-05
really,1.8930646638182226e-05
am,1.631762552278815e-05
ad,1.4739184734935407e-05
ati,1.2620192440711738e-05
today,1.1016029020538554e-05
sw,9.122612937062513e-06
blah,8.76347712619463e-06
aw,7.854724572098348e-06
ow,7.730861246576145e-06
