token,mean_importance
hate,0.8680318097273508
completely,0.7534052483115374
happy,0.7129909373082531
remember,0.557799164991593
stressed,0.5485103921964765
horrible,0.41624030385476846
again,0.41092917261994444
her,0.3821845094983776
our,0.33543642431808013
's,0.3349398470775971
random,0.3217495183149974
hear,0.3165244968913612
college,0.2871758362448418
decisions,0.27835199733575183
edge,0.2755925307671229
days,0.26185977447312325
then,0.2615319353644736
see,0.2546931403019698
happened,0.25050589551683516
pl,0.25003684406207566
brain,0.2469909062347142
abuse,0.24598878855067596
him,0.24340813354189908
family,0.23944170580034552
taking,0.2264787990352488
can,0.22445185092118874
currently,0.21975607574859168
went,0.21780176548782038
mom,0.2175001559080556
ve,0.2098871472603605
free,0.20146913826465607
told,0.19891830931495255
school,0.19757558248238638
basically,0.19502391666173935
he,0.19344535466529045
physically,0.18540955986827612
sure,0.18486734863593787
making,0.18415152695743017
've,0.18289699879427312
diagnosed,0.18128639180213213
hide,0.16947764528231346
way,0.1678455571163795
last,0.16389230906012622
small,0.16331521794199944
started,0.16215002416962912
anxious,0.15996777678219587
emotional,0.1597553649917245
was,0.1538521149814187
feelings,0.1524453425910906
after,0.1513253360208182
never,0.1477938602125505
money,0.1464532955615141
down,0.1459146721235811
months,0.14452192878570713
boyfriend,0.1427008178240309
shit,0.14140818873905422
'll,0.13919097640817718
body,0.13826810708269477
until,0.13700758883593758
extremely,0.13571146020452338
stop,0.13329755328595638
being,0.1330836882647418
home,0.1315356701888959
where,0.12710987930525638
).,0.12486008365400873
feeling,0.1236008511629431
makes,0.1213173866563011
yesterday,0.12038711912252135
said,0.11951166825989883
had,0.1175320495730274
other,0.11622616423119325
't,0.1159787118672414
music,0.11519071552694575
talk,0.1140905986103462
she,0.1138839662191458
anxiety,0.11354658923972658
time,0.11327108563102015
therapy,0.11253540207981132
about,0.11115310018676214
something,0.11083951173350215
sit,0.10770632747638349
were,0.10650680437174742
different,0.10632079094648361
take,0.10523303151664247
without,0.09847212339991529
from,0.09822278594620001
been,0.0968366400364017
find,0.09490076852913869
since,0.08944528242963398
whenever,0.08812769254048665
should,0.08752623590563806
day,0.08654661042105131
feel,0.08379025145986815
some,0.08371594971382972
today,0.08360640421096832
such,0.08270582211359094
only,0.08175587387190067
it,0.08163686762478167
also,0.08145351383063826
child,0.07905009274072654
this,0.07788004936642559
how,0.07528141242801212
don,0.07527846352108596
decided,0.07521570274257101
that,0.07516587893999378
in,0.07459744885482392
not,0.07457572503123326
more,0.07432991170317109
there,0.07364787899405201
nt,0.07306002729941004
try,0.07158065887536698
by,0.07126820109048519
and,0.07112865625154799
most,0.07093441638644435
would,0.07064895949026156
father,0.0704598079319112
lose,0.0699797881146272
which,0.06972716002097254
his,0.06957645793681877
else,0.06940733262672438
thinking,0.06897092796716606
but,0.06834055645569691
close,0.06812077340191536
am,0.0671185348315758
'm,0.06654261716480946
my,0.06506715945984413
person,0.06436546235012688
could,0.06435573303224373
myself,0.06433143102185568
up,0.06362448057366236
hours,0.06161385227460414
...,0.0595624192331646
doing,0.05870599158470213
have,0.05682413482576191
food,0.05587146089722713
out,0.055127696449024675
over,0.05486568409317746
do,0.054669127960195234
okay,0.05436452258436475
live,0.053557077694373824
old,0.05342093166958269
coming,0.052795680161216295
past,0.05275968388468755
ing,0.052307530531834345
point,0.05193548261498412
people,0.05171694378158362
on,0.051184750665722985
is,0.05116027958823766
for,0.05112838792213855
the,0.05050110662959924
relationship,0.050332553684711456
dont,0.05005669537682219
to,0.04998654573144401
im,0.04929192304125001
two,0.048907964992395137
very,0.04868934392076577
me,0.048526406747858006
anything,0.048037329062935896
we,0.04792627750430256
nothing,0.04702312545487075
best,0.04610064410444466
lot,0.04573880019314755
back,0.04541461031427995
off,0.0451839274232043
example,0.04508289764635265
say,0.044943818230725206
anyone,0.04425694808406451
nervous,0.043936797432252206
with,0.04215563007005585
what,0.04197555476631268
know,0.041958908293703905
tell,0.04172127298443229
through,0.04100467399694026
memories,0.04068190305648992
you,0.03991871525977331
wasn,0.03878673227427498
hey,0.038734428429355226
work,0.03806664014030646
think,0.03701758188201763
friends,0.03700323748125811
get,0.03695235751274595
type,0.03562210039308411
really,0.035354712652966
doesn,0.03473961469717324
while,0.03468627790789469
has,0.03462745406659451
be,0.03410118978557875
all,0.03402575449252673
or,0.03298992767073427
normal,0.03246392654255033
them,0.03221790140758623
an,0.03145685933961633
happen,0.031230688095092773
violence,0.03100840160671699
enough,0.030967615015015326
these,0.030654348725511225
they,0.030367138065440277
of,0.03001855440328599
let,0.02926357822434511
pressure,0.0282217375934124
year,0.028189931478534293
things,0.02787851700001435
going,0.027186326224182267
feels,0.02716543818435942
are,0.027086951553428662
everything,0.02657976572845655
too,0.02637775372386386
like,0.026051935248283878
one,0.02583185870886761
why,0.0256821151422173
life,0.025605673373969955
go,0.02498536451093969
now,0.024748197111822426
just,0.02470433417215645
short,0.024123754439642653
real,0.024114994183037197
entire,0.023929843368629616
its,0.022894969257322373
still,0.02271294697776385
no,0.02248022051495961
so,0.02216562532140092
those,0.02216148318075284
who,0.022101223768653915
looking,0.021955486037768424
make,0.02097897166886469
if,0.020768668330922745
any,0.020204320643097164
want,0.020012937615380602
as,0.01967534760334435
isn,0.01891991089602622
emotions,0.01842815735532592
level,0.01741733211868753
problem,0.017398102674633265
few,0.016783450197408456
long,0.016747659440928448
stress,0.0163126869359985
own,0.01617267979842533
trying,0.015803660507247384
cant,0.015135576017200947
at,0.014887129674581742
mind,0.01454678681329824
your,0.01425506438196559
"),",0.012844180688261986
much,0.012593661385695808
even,0.011950832489674212
anymore,0.011387082111468771
everyone,0.01095297210267745
head,0.010752448831529668
sometimes,0.010335625971492846
physical,0.010053754072335627
weird,0.010018123488407582
because,0.009986526229687641
hi,0.009984085593411388
pretty,0.009661283093691964
figure,0.009650342321644226
left,0.008988567686174065
hard,0.008802203802285172
before,0.008660457588848657
when,0.00858020416470888
getting,0.0084241762205137
bad,0.008351247221331246
made,0.007917517646481948
does,0.007667764447978698
ant,0.0071332501065626275
ass,0.00697383137109379
afraid,0.0062719232810195535
30,0.006238348193801357
place,0.006228339394814005
fear,0.006011344667058438
high,0.005997196258067561
new,0.005913964635692537
cannot,0.005751916493560809
little,0.005626940709286525
here,0.00544601168197308
having,0.005376288285853141
got,0.004521011924225604
will,0.0045070927978182835
sick,0.004471742326859385
tried,0.0043897061453511315
weeks,0.004388455973821692
well,0.003766617582490047
chronic,0.003607916102434198
](,0.0034578084353900826
always,0.0032221567186449343
age,0.0029823909668872752
actually,0.002959663346700836
couldn,0.00294466940977145
keep,0.002884827053094341
away,0.002622010987579415
job,0.0026057963546008978
sleep,0.002571918594185263
didn,0.0024892685566252717
ness,0.0024085841335666678
into,0.0022828903693152824
parents,0.002266751523620769
found,0.0022102560087660095
every,0.0020813858233547458
enjoy,0.0020805616659345105
same,0.0020565483331059418
give,0.0018326499918354482
called,0.0017112316951776545
yoga,0.001710841276993354
able,0.001710217424260918
cause,0.0016547582223817396
mental,0.0015649996081871602
become,0.0014517023919324856
ous,0.001429148978786543
pain,0.0013678734928059082
help,0.0012332207938015927
ress,0.0011861985913128592
years,0.0010065817083765676
around,0.000996077215859259
recently,0.0009872198104858398
leads,0.0009827000321820378
took,0.0008842687311698683
someone,0.0007818363228579983
face,0.0007747008536777381
heart,0.0007431535438324014
under,0.0006870973205271488
flashbacks,0.0006675411035151532
ago,0.0006462636310970993
pd,0.0006018485621704409
kept,0.0005885332357138395
social,0.0005527644302674162
rehab,0.0005295855614046255
problems,0.0005217778549801247
etc,0.0005078581561974715
research,0.0005041284118002901
av,0.00034393350603446985
**,0.0003298773146525491
ational,0.0003269372876578321
daily,0.00022280945358943427
together,0.00021508356803678907
seems,0.00017173880951304454
finish,0.00012558569354344704
thing,8.753144356887788e-05
almost,7.181478258644347e-05
ended,6.0347411590555566e-05
