token,mean_importance
anxious,1.041868544029837
agitated,0.975562407169491
thought,0.6114420307741663
nt,0.556073089207833
ive,0.5049781031114738
overwhelmed,0.4313755528861293
also,0.40569922303651157
time,0.3666514448511104
shaky,0.35744950689938076
can,0.34956606333926177
terrified,0.3361845130197253
felt,0.32381817633313403
help,0.3040900357510168
your,0.2808114115432545
over,0.27418706433436457
thing,0.2632186169369864
she,0.2574823989541528
feeling,0.2551093366723349
uncertain,0.25485549502506427
little,0.24554182519295864
good,0.24048734212624368
you,0.22783063635646222
if,0.21984958583107073
going,0.20951885151043825
were,0.1958365706487181
about,0.1913961635708412
shaken,0.17892654348785678
home,0.1517645301482844
this,0.13020303799799876
or,0.12909176543968215
am,0.12747274360291763
is,0.12729632560494258
was,0.12537152605642
get,0.1183736442292987
feel,0.11322565697778023
make,0.1035961927846832
off,0.10261852447486793
so,0.09722962817807002
at,0.09606336423144057
situation,0.09603913013233978
comes,0.09086692722182003
that,0.0907413121917086
threatened,0.08743774998947629
still,0.0819314548219457
restless,0.07684896156812708
intimidated,0.07380044041201472
though,0.07048702614459519
im,0.06972387466904413
for,0.06759372234699351
but,0.06632634397712016
bit,0.06131105272106652
me,0.05941201333743501
afraid,0.058888558336730054
my,0.05593379693993228
day,0.05382730161121193
and,0.047861498608497755
to,0.04756152663284085
too,0.039906152317295586
of,0.03851049341011964
when,0.03792510557362524
in,0.036639495284710694
it,0.035642564032326955
the,0.033909445471288435
are,0.03351794298416482
take,0.03120763784030108
shy,0.030623843156111736
heart,0.02895162113054539
much,0.0257104115983869
had,0.025500286694568785
there,0.023651494675874574
as,0.02334762652157628
really,0.023171851258832084
some,0.0221572236027896
way,0.01851245718660266
by,0.017376666598102018
would,0.01733692725383662
with,0.015426975461748173
told,0.014030504100598288
should,0.011070254881512179
ass,0.010585018278410038
how,0.0102751492979678
love,0.009812691326563558
have,0.00886659535106966
be,0.008760701905073023
guys,0.008333864609691469
whatever,0.007832207324023935
think,0.007471766386743184
who,0.007249970196426148
they,0.0063218569443961314
someone,0.005852167257398832
know,0.004788820547105388
out,0.004512627826140185
scared,0.004498382627692384
because,0.0037980513120601245
today,0.0033686788187229206
do,0.0032332252825047667
very,0.002927663099139214
them,0.0027261952107740703
reluctant,0.0026838278827199247
right,0.0025175735654556775
nothing,0.0024633364325078824
uncomfortable,0.0022173502766236197
did,0.002162497332392377
been,0.0019257466397448297
strange,0.001649122052185703
an,0.0014642724463556078
without,0.0014259205927373841
book,0.001392732539291804
could,0.0012984774827297467
now,0.0012863263231338352
feels,0.0011673496419462026
fearful,0.001071987686736975
actually,0.0010505865611776244
trying,0.0008665593340992928
see,0.0006867517737418893
again,0.0006682726812869078
any,0.0006054181164169373
her,0.0005258192674903382
less,0.0005245733846095391
sometimes,0.0004554090883175377
wanted,0.00045370129419097793
what,0.00039977358998536755
year,0.0003994018146234642
frightened,0.00027766956782215857
he,0.0002532696307753213
just,0.0002530972073297259
all,0.00021809804143231305
anything,0.0002043071152684206
like,0.00017366396853806993
slightly,0.0001735071191433235
on,0.00015262706892826827
go,0.00013895511468338859
pain,0.0001338649284055767
thin,0.00011769175580411684
will,0.00010697058805817506
up,0.00010513535683761195
away,9.083708785813845e-05
only,8.716136653674766e-05
from,8.306555300805485e-05
part,7.284090224857209e-05
not,5.896040074730991e-05
life,5.697535816580057e-05
easy,3.045158185462545e-05
people,1.7477192159276456e-05
other,6.691688061740327e-06
