token,mean_importance
finally,0.3924603871251975
im,0.3916366868911104
next,0.3037171829541876
ing,0.2589563458028958
right,0.2573978798843086
probably,0.21665472473923728
everything,0.20030029604453148
need,0.16393437921961626
around,0.13974938728889746
over,0.12884796656447345
in,0.11205673888124362
will,0.1096209855968823
social,0.09225928530977398
now,0.0835434869700084
anxiety,0.06953261376552941
life,0.06411547712118422
but,0.04680955860824928
of,0.04213306072310675
be,0.04059030917705573
suffered,0.03905929869000602
on,0.03482327564430676
that,0.0329605851274821
's,0.0233018394449443
angry,0.019782909246714553
for,0.01802985334698871
depression,0.01770966443148609
me,0.017555475377112845
have,0.0162183206191789
'm,0.014996075467024639
friends,0.01463954081542814
live,0.01366883953727438
possible,0.012669439851985468
their,0.012410921305217926
went,0.011973687708263014
cry,0.011943710902111585
could,0.011491447852222336
to,0.01116040035606436
honest,0.010408810544959124
state,0.010247124419493048
everyone,0.00852713659349485
few,0.008499293199929526
would,0.00813124460266105
your,0.006620768319805848
family,0.005742182718194044
people,0.00539750941600557
they,0.004932450673712603
as,0.00491803836522801
last,0.004852037424370792
doing,0.004440130130270907
adhd,0.004398374003358185
because,0.0043432407262814976
...,0.004320199180426698
years,0.004315928699270444
who,0.0037055927246506647
sad,0.0036114306627723636
someone,0.003217784755042885
look,0.0027193978379121595
know,0.002583415149855581
out,0.002575827487589777
not,0.0024057877615466586
do,0.002398026753882461
get,0.0023817196119828373
am,0.002241014504136274
with,0.002210961001731825
no,0.0020727303024452868
all,0.0019210626523648872
started,0.001806119325984972
just,0.0017949994822648789
and,0.0017057012156409973
it,0.0016436841893549433
anyone,0.0015453993391929544
so,0.0015285477496655
bipolar,0.001443706937910368
nothing,0.0014298680070510272
break,0.00142497576198366
normal,0.0014180156936163257
the,0.0013551003555537732
been,0.0012055473962078623
depressed,0.0011165262342449122
is,0.0010887762103762428
ill,0.001058012232533656
ad,0.0010545926497798064
feel,0.0010406754630897315
loved,0.001013022287224885
has,0.0009727549352516819
emotions,0.0009379783209624293
my,0.0008850857171973118
please,0.0007403953820812603
